,tx_id,time,inputs,outputs
0,379585f986acb9dea875f6a412e9fede8565bfbf6ff6b2010a2e41b583dd7315,2021-10-06 17:12:34,"[('bc1qywttn9jtdjzsrc36s2cr5p0dmfe8jpnqu4uyhy', 49997000)]","[('12bgFr2CVgxoxTak64Uh67JxsgDmJM7x7S', 49995531)]"
1,4a0a1c517d78899d36bdb266be6fdc34c00e8ef96a8f5a0bfa6498615922c1aa,2021-10-06 13:30:54,"[('bc1qywttn9jtdjzsrc36s2cr5p0dmfe8jpnqu4uyhy', 20345391)]","[('12bgFr2CVgxoxTak64Uh67JxsgDmJM7x7S', 20344713)]"
2,907ed67e9c352a0d0f0664f58eb0700568b59cebffafb6f87a76d15bdc153fa3,2021-10-02 01:21:54,"[('bc1qywttn9jtdjzsrc36s2cr5p0dmfe8jpnqu4uyhy', 41329294)]","[('12bgFr2CVgxoxTak64Uh67JxsgDmJM7x7S', 41328390)]"
3,b4a7a317b2122ba92f98e289727fc83dec54d081958773d69cf49033f06d18cf,2021-09-20 13:04:54,"[('bc1qywttn9jtdjzsrc36s2cr5p0dmfe8jpnqu4uyhy', 61997000)]","[('12bgFr2CVgxoxTak64Uh67JxsgDmJM7x7S', 61996096)]"
4,5cec7a4c0fadd3cf90a298006c60dbab025b91921e88b076eb537b519373f6ff,2021-09-17 14:19:02,"[('bc1qywttn9jtdjzsrc36s2cr5p0dmfe8jpnqu4uyhy', 15997000)]","[('12bgFr2CVgxoxTak64Uh67JxsgDmJM7x7S', 15995983)]"
5,802ea0ecf90b21d0df52ae66f8d52061f6fba45d327af409ceb825d86b5cafec,2021-09-16 08:47:54,"[('bc1qywttn9jtdjzsrc36s2cr5p0dmfe8jpnqu4uyhy', 29997000)]","[('12bgFr2CVgxoxTak64Uh67JxsgDmJM7x7S', 29995870)]"
6,9f553e17fd596b7042327833be25f127e358db3abb5d107960e8b98b2bcdb2a7,2021-09-11 03:31:28,"[('bc1qywttn9jtdjzsrc36s2cr5p0dmfe8jpnqu4uyhy', 19997000)]","[('12bgFr2CVgxoxTak64Uh67JxsgDmJM7x7S', 19995305)]"
7,d7429c551bf21e5131fb1c2bf578aada62aa7193d3e5efaf765b78d3a2c1490d,2021-09-09 21:18:12,"[('bc1qywttn9jtdjzsrc36s2cr5p0dmfe8jpnqu4uyhy', 59997000)]","[('12bgFr2CVgxoxTak64Uh67JxsgDmJM7x7S', 59995305)]"
8,b91ec54a085aa5a00f32cd4dfbc26791f129af3f719e9e64d95c7cd6d78d4b19,2021-09-08 08:21:18,"[('bc1qywttn9jtdjzsrc36s2cr5p0dmfe8jpnqu4uyhy', 34028570)]","[('12bgFr2CVgxoxTak64Uh67JxsgDmJM7x7S', 34027214)]"
9,739ea59e9bdf854f91ed0373fa778417e3b5efa57255e217a95510bcccb8cffe,2021-09-07 16:19:49,"[('bc1qywttn9jtdjzsrc36s2cr5p0dmfe8jpnqu4uyhy', 35899278)]","[('12bgFr2CVgxoxTak64Uh67JxsgDmJM7x7S', 35898487)]"
