,tx_id,time,inputs,outputs
0,f4118d72b5d24ef0edecf2389bf7f5129b61dcd7c6f05f66bc4089c54a19e73a,2021-05-04 19:39:03,"[('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 244580), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 215609), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 202297), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 185070), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 147822), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 143081), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 139170), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 137323), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 137294), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 130714), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 126356), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 105810), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 101243), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 101115), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 98039), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 97076), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 90000), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 90000), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 89493), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 88686), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 82880), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 75288), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 74502), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 63297), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 62242), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 61874), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 52193), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 44139), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 43942), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 37370), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 34882), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 34080), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 25679), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 24845), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 22684), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 22100), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 21569), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 20033), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 18034)]","[('1AfPwAQigo6eLKNnhi3tbkmgnSb4fV73P', 3470345)]"
1,e4bb6e8967b838edae28b21c49580819ff3d662ad44ecbabd0adfb5d7837bfe1,2021-05-01 09:06:57,"[('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 515109), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 260000), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 185172), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 159820), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 13671), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 11535)]","[('17UciCr45kQB9KcNHxeKHhkpr3jkuLGjJg', 1088582)]"
2,b63b85427c7ea674bb9bc62fc75348ce3cf8a7d159b458d9c37f8591eab1ee57,2021-04-12 03:42:00,"[('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 1789762), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 1270467), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 964012), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 720000), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 419038), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 373683), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 350000), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 312380), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 305000), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 277143), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 266261), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 264200)]","[('1M5TLZG5GFDUrfQ6FyP2XH1wUjja1iuX7q', 7117877), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 185172)]"
3,77a11694487d7dd4f95ef5dacf7080ba31475b4e5449acbc4030d6155f4e6393,2021-03-22 14:58:44,"[('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 104147)]","[('3GzkkYWsYahw5SCS8qJYBdnBpN5xsb3iSG', 94607)]"
4,d82d9d07f583cde27806ae2d5a04aaceec924e391709d43dceeb62b0ac2929d8,2021-03-20 14:21:18,"[('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 1725400), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 1232700), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 1148115), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 1034818), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 925307)]","[('1P3qcqUq9hRLiBpV3Ce1U4cVuQJSyL7piL', 5068538), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 964012)]"
5,d5d97e1fdc839f71bf091ef5322a93e4ea6747453ec398ac244c21d4752bcd1a,2021-03-17 20:36:56,"[('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 87289)]","[('1DhZpK1Kq8je4U1Wix6G3QXSmUHKi2muZ8', 70250)]"
6,f4118d72b5d24ef0edecf2389bf7f5129b61dcd7c6f05f66bc4089c54a19e73a,2021-05-04 19:39:03,"[('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 244580), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 215609), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 202297), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 185070), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 147822), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 143081), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 139170), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 137323), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 137294), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 130714), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 126356), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 105810), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 101243), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 101115), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 98039), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 97076), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 90000), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 90000), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 89493), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 88686), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 82880), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 75288), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 74502), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 63297), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 62242), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 61874), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 52193), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 44139), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 43942), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 37370), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 34882), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 34080), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 25679), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 24845), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 22684), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 22100), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 21569), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 20033), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 18034)]","[('1AfPwAQigo6eLKNnhi3tbkmgnSb4fV73P', 3470345)]"
7,e4bb6e8967b838edae28b21c49580819ff3d662ad44ecbabd0adfb5d7837bfe1,2021-05-01 09:06:57,"[('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 515109), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 260000), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 185172), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 159820), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 13671), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 11535)]","[('17UciCr45kQB9KcNHxeKHhkpr3jkuLGjJg', 1088582)]"
8,b63b85427c7ea674bb9bc62fc75348ce3cf8a7d159b458d9c37f8591eab1ee57,2021-04-12 03:42:00,"[('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 1789762), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 1270467), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 964012), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 720000), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 419038), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 373683), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 350000), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 312380), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 305000), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 277143), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 266261), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 264200)]","[('1M5TLZG5GFDUrfQ6FyP2XH1wUjja1iuX7q', 7117877), ('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 185172)]"
9,77a11694487d7dd4f95ef5dacf7080ba31475b4e5449acbc4030d6155f4e6393,2021-03-22 14:58:44,"[('17Bb6YizbVUvzU47gA8pUAjuVgXDK9qPgp', 104147)]","[('3GzkkYWsYahw5SCS8qJYBdnBpN5xsb3iSG', 94607)]"
