,tx_id,time,inputs,outputs
0,f5785b331a6bff087c8878e27d1f0b26affb1ba6c44d6bb386361cff3138f68f,2021-10-23 12:51:23,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 792390578)]","[('19CGx6qSnewwRXsYdbNqte8mYmUM77dA7P', 399580), ('3C9q3SGuVmfiry3HBqRaWo6L82ijTwjXsK', 2290000), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 789673611)]"
1,66f35cfb003c0b865741ddf4508ed0901088727d39e3b4a8eafaf3022116227f,2021-10-21 11:01:03,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 911383411)]","[('3FKTiHWrsLJ1k6qkk7xi96smXfoB3P2jZN', 3079821), ('19CGx6qSnewwRXsYdbNqte8mYmUM77dA7P', 559220), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 907716983)]"
2,9ece7e549a75e65e9a55024bea9056f1dc75a63dc1c7416f20ea217f9380e6bf,2021-10-20 12:30:23,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 1060086475)]","[('3K71m6feDjncJEkeWcDfLPw7YKcEAvZojk', 315000), ('19CGx6qSnewwRXsYdbNqte8mYmUM77dA7P', 287930), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 1059456158)]"
3,9cc375fa16fdb97a8cd223caa6ab67ba52d4eb01169ad88ef30516276fcae675,2021-10-18 15:27:52,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 674964406)]","[('387qnY4DWYpTXxDPhyyUskeYy4MvucRkJp', 268975), ('3NE5XPeHQgGqvi8eJKRDJRtj3SJUUGoY3o', 798840), ('bc1qp8k8gd0w8tl9pk5yd8j67fplmw6l6tk04weerl', 3260000), ('19CGx6qSnewwRXsYdbNqte8mYmUM77dA7P', 288380), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 670311185)]"
4,74568785adf2667854379c4779e581c99890d488042e97542e4f31d9b9f3f3e7,2021-10-17 20:08:11,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 305766748)]","[('3GQbMWeBDnSC6JtfvUMQn83zEVjH6aV3rB', 465077), ('19CGx6qSnewwRXsYdbNqte8mYmUM77dA7P', 305900), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 304968384)]"
5,0e6142fe2130ebc09c464c3b75e7776b6757aadc7798897efba9ee2c63982dee,2021-10-16 22:34:42,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 596144238)]","[('391w5jTBgdoXjRR4Qwy5DRpTEM9jf9av7U', 350374), ('19CGx6qSnewwRXsYdbNqte8mYmUM77dA7P', 516200), ('1AaUWYzjkCy9zTUNunbcXZQSKopkrzPDzQ', 965614), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 594279461)]"
6,3dd8f8a109daf72ff1ecb43c684e34b04edbb45ccad1d974f6c7899fc605b7b5,2021-10-15 18:27:28,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 811752539)]","[('bc1qyjrn5dhhtxyc73gdrudgzrq5kg5gwepgjxl4ut', 267440), ('3GUw1yKjvPFmeSoKYmk5GnqSDuYVLzhkuS', 329900), ('384Z8yzariwPsCfTZngNeC6gra6vVT3Y4W', 1410000), ('19CGx6qSnewwRXsYdbNqte8mYmUM77dA7P', 399660), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 809308513)]"
7,4f44637319015e203c7be7b670a38388024c00bbab3d03e7a67052165a755ad5,2021-10-13 11:36:23,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 1157664090)]","[('bc1qd5kaschz5r20upu7x46n4cml8qe3zuvt54cnmd', 665799), ('19CGx6qSnewwRXsYdbNqte8mYmUM77dA7P', 459670), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 1156511387)]"
8,15a1dea988b8416203660dfdd680b3a07c11445a659cb6cc8496e649b13f4a19,2021-10-11 12:39:15,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 262984950)]","[('bc1qfunpln5xlq7azlu922gfl7y2gz5xtqjarvcywz', 17522770), ('1Pjkzk8WHYQrWKHAu1AQEaApDCphvqeo1B', 8360000), ('19CGx6qSnewwRXsYdbNqte8mYmUM77dA7P', 316130), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 236753614)]"
9,5bc58de9a1ceff6e1636295c68108891ed4431709211d8d0227d9f40fb0f0b0f,2021-10-10 14:21:55,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 534423327)]","[('3GudtX7UKDEHuUk367VVerHeUmj1kTQnkB', 1730000), ('19CGx6qSnewwRXsYdbNqte8mYmUM77dA7P', 689330), ('3NDG9fqK4RSdkdDhMz2UkSFTP5GyY5tYNR', 274830), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 531696884)]"
