,tx_id,time,inputs,outputs
0,1c9fb9db64daa1273d7a6b6fe177ed90870e60ce4949a2e2e900f7c16c9d095b,2021-10-18 03:03:11,"[('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 428745476)]","[('1CZsCgaH6XDG6yto3DyMQZRtTJvbcTkoNK', 100000000), ('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 328736260)]"
1,256051154f8d37a3f13a5ab31a0a60c7679a7766ab5753074744cfe2bf8278e7,2021-09-01 11:48:27,"[('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 298722249)]","[('1CZsCgaH6XDG6yto3DyMQZRtTJvbcTkoNK', 37447000), ('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 261266033)]"
2,622112be3ecab745031c1993dde8ada7e0b8338635b26bf4f70bec242ab1e7ec,2021-08-17 03:36:57,"[('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 1446298137)]","[('1CZsCgaH6XDG6yto3DyMQZRtTJvbcTkoNK', 100000000), ('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 1346288921)]"
3,d5472aa5b4e220b6bc375cf92bcbe9d080b03ee20d1960adc6946a151e7fb727,2021-08-17 03:36:57,"[('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 1546307394)]","[('1CZsCgaH6XDG6yto3DyMQZRtTJvbcTkoNK', 100000000), ('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 1446298137)]"
4,7f66cd0e1c5e56073db63a0074202a9590cdf545ed055cadff44c0990c61a05f,2021-08-04 04:23:02,"[('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 1894554203)]","[('1CZsCgaH6XDG6yto3DyMQZRtTJvbcTkoNK', 65087200), ('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 1829457787)]"
5,3ae7fd5462a526f4e74e58a79bbbe908d88ef9bbd09898c7a1361fea5a5a0a9c,2021-07-28 03:19:03,"[('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 2170803832)]","[('1CZsCgaH6XDG6yto3DyMQZRtTJvbcTkoNK', 130980000), ('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 2039814616)]"
6,6318b0d1858ba45910697e9e06ee7a0abe970a6bc39429824aca49e39fd7b16f,2021-06-28 03:42:18,"[('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 261983510)]","[('1CZsCgaH6XDG6yto3DyMQZRtTJvbcTkoNK', 147600000), ('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 114318030)]"
7,40bae9b93c46c26af62ba6dfc03033522dcd737058397657ab4b0b645686fc5a,2021-06-12 01:54:53,"[('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 451078944)]","[('1CZsCgaH6XDG6yto3DyMQZRtTJvbcTkoNK', 109280000), ('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 341786939)]"
8,461964626fef2efb420f4d9a2cfef2e082a0b57eeb2ee13efd94be8e81ccd458,2021-05-28 07:52:29,"[('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 775959095)]","[('1CZsCgaH6XDG6yto3DyMQZRtTJvbcTkoNK', 102000000), ('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 673933835)]"
9,e6eb32192812dddf9116fbbf10afc7c7c73fa4cde37716cad83315be0b86a3fc,2021-05-27 13:07:48,"[('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 875984329)]","[('1CZsCgaH6XDG6yto3DyMQZRtTJvbcTkoNK', 100000000), ('bc1qqt4mxnl6uttawqzynymqx8jffjcd9usvr79nd2', 775959095)]"
10,9ab51996eaf4982fce44a7a4860e1dcfa79638531181323bdf084b8dcdfd0c08,2021-02-08 14:46:52,"[('12ZTVniCdrL8Wrd8Bjv9DetCTUP1UF6kw8', 18202961), ('12ZTVniCdrL8Wrd8Bjv9DetCTUP1UF6kw8', 273925300)]","[('1CZsCgaH6XDG6yto3DyMQZRtTJvbcTkoNK', 128734708), ('12ZTVniCdrL8Wrd8Bjv9DetCTUP1UF6kw8', 163353552)]"
11,2ea06b5f758afc391d3e0a4939f3ba85c0698b11eae46e8d00c0d034a1fefa37,2021-01-18 10:10:10,"[('12ZTVniCdrL8Wrd8Bjv9DetCTUP1UF6kw8', 1409061318)]","[('1CZsCgaH6XDG6yto3DyMQZRtTJvbcTkoNK', 1049122997), ('12ZTVniCdrL8Wrd8Bjv9DetCTUP1UF6kw8', 359916826)]"
