,tx_id,time,inputs,outputs
0,0da044e3ac8b7c79d2898f4f5bbcf85687983e9bfeb674c2cf4eb4e85ac259f5,2021-09-17 22:30:48,"[('14M7c4B4qfwwj9WjL2Y4V4a9JAnVVe8fih', 47345183485)]","[('1KaJN3ggY7C7nVsGXkkrsC7kxfu3hqJ9jt', 2062866), ('17u7anHtN8nRoRgo4NnN66q1JmKsjhPHSw', 47343101251)]"
1,375e72d05287fbce851618a19780a77c91c4191c46ec9853ea92f7c5a49b2cdc,2018-04-16 18:06:08,"[('19HYfLinc755o1TbjpkHGj8FNbwffn5kS5', 108818213)]","[('1KaJN3ggY7C7nVsGXkkrsC7kxfu3hqJ9jt', 10583770), ('1JUZumBa82NExk5NSTkUh4LG2XGqDaGhJe', 98232162)]"
2,fb8cb4d05874ead7de131702fbe422381c17cdf6a0918ddd58674197f450efc0,2018-03-03 14:43:10,"[('1PfwDuwTwXCtWvEmsQGzGEzDLnhvL4PXiS', 954026), ('14zgJB2SWYYNMDSqqwfE3Nr9pXCNT1QNwk', 779466), ('1EzfG15LHfGuqNgF3CVT565AGD29ufBZRp', 2289503), ('1EzfG15LHfGuqNgF3CVT565AGD29ufBZRp', 3298895), ('1Lkzn1xRPAbbEHcxjfAiPKEYnJeX82aLpD', 1026034), ('1PAF4ccvTB2YHuwtHdBntFwcd5oxZMCDvL', 167618)]","[('1KaJN3ggY7C7nVsGXkkrsC7kxfu3hqJ9jt', 8486562)]"
3,8f8d7737f5f03ea9ce2b101b25a1fe3bc03f1afe1600845689f79c0e1436ad0b,2017-12-23 18:30:17,"[('1NL3XN5X7AceECkfQS9YeqPnPnJe9uKda2', 3758755)]","[('1KaJN3ggY7C7nVsGXkkrsC7kxfu3hqJ9jt', 2736732), ('1MAaZT7Pf7uMMot1dCvbr1kEzxAvV7kb7x', 835825)]"
4,8c5fbcbdff5b7d06be1e2e93436921252f671d343bd0e38ea02ce3f690644322,2017-12-21 02:26:53,"[('32xL1wTGNN4PgxfwaoyBRgz8d6adUC8tdN', 4857568), ('3JjdMy4E2vFrSCVbmX8whZ5P5H5XNRnzs6', 1394362795)]","[('1KaJN3ggY7C7nVsGXkkrsC7kxfu3hqJ9jt', 4787850), ('1Ehmj2nV6oS3EzohUoNBKxrqVC6ExBsiVF', 3217267), ('18qsbeNB4dvdjH4ah8vWg1d8PmFieufDAr', 515765), ('31z3zdvQJxb3HKXZrddeTUc5SmkSMZm3z7', 1378477880), ('1FabwpL32z8yofegbFTkQxRxpLRu2k9BYS', 8743429), ('16yKZkMddg4kaAGkrdtwUaiaLyYsCnVxky', 3060652)]"
5,bc5d25c928800472fa7761f361f27a2c5f02eb04d1a16896a834ee1a7a568c64,2017-12-20 04:49:50,"[('1KghCZNN1XKw8jxaeopPv3zgf5JVycjDdY', 7123843)]","[('1KaJN3ggY7C7nVsGXkkrsC7kxfu3hqJ9jt', 3018937), ('16Syi1msjDs89ZbqjBTcxueDSGzEZMn7NE', 3979180)]"
6,28f77fc8eed952d4eb0b3a94e13e47a6a6d71213926767469c89df3fe6541251,2017-08-22 08:02:00,"[('1MgXtPUzJR1X6TucFrtbL1VRSYc5ruthQj', 30080000)]","[('1KaJN3ggY7C7nVsGXkkrsC7kxfu3hqJ9jt', 29047704), ('1Mx4Nk5ntF29P5PMwaZcgYd7HhESZEtRLU', 966412)]"
7,ff0ce5e6cedca5bf7f8767af13e4bccff1776c800b719ea69105501521575559,2017-08-21 00:33:12,"[('1N52wHoVR79PMDishab2XmRHsbekCdGquK', 3888716130), ('1Ax8eBKS1w5Cwgf4Kt1bAXRjBmjB3Hi7N3', 62475100), ('1PuhmrYoLwGjVzGh6BHFDdhg24anzf769M', 62488490), ('1BZGi3kHRbmcNr1xV4FniGR54hAuVvBAds', 62500000), ('1A1SzZbP17QjHwmm1gyQasnJMJsdPqXYXU', 62500000), ('1GL6pa7ed2YwAxWaEqwb9cVEkNbUS8wHUq', 62500000), ('1MwUJceUbo212RAKXUPaqnYqefumLkyUEN', 62500000), ('1BZGi3kHRbmcNr1xV4FniGR54hAuVvBAds', 62500000), ('1D6Ha9FRV6Hj2znRCtAU2oKKQmgu5uW5By', 62510500), ('1FHJEzAiQLWWeca44iVPbtTdk2qp5mmXiK', 62516645), ('1GWooankvnVd2ZYimeAV9GeRNwV716p1Rs', 62516845), ('16V6pkf53zNPohDRqTELaA4RHrhQegXpLJ', 62518051), ('12cyPjzFxe4fsrWpptNig9onjcvSUp81Na', 62521300), ('1J7uNbAmhZrqRkvgvnbnfMkzVPq8RuSrFS', 62528000), ('14dFVYjVKRVeYqywPG7GLNX5YYiUZ81JFf', 62549403), ('18YqCq4hnGfgFb2WoWdGgxRSNQxMpEWfgy', 62570000), ('1PBHwcBbMt9tPKyFtHP2RqKDPkLw35e6hL', 62585300), ('14wuUu6cGbGE59gu6BhJzhMBXJ1KkZ1AfL', 62589136), ('1MPbqsgTSBeMdZkUGbf537jWResh6ePUXW', 62591900), ('17TP6SzfxwW3HekHYCaKt8zKEnmvKBpWAK', 62618279), ('1MXgSURgnG7BuTw9YvdcVKenq7ix3n9Axo', 62618336), ('1E1oY7SfTsknZW7tZneDpZ9pUpwE5D96a', 62630000), ('16qHA187QX2b87SJWvHKC2nJDUZfZRvF4j', 62640000), ('1N7NpJUW2uD3ytJJK3vYZe2ercMq8Rd4x', 62643913), ('1KzVG3AJomZ4AG9hMuaBcjJRZ9Ae6kr68L', 62649331), ('1BZcv3bEr4QqyA6HdBrWxD9mgPfGnhQura', 62655843), ('1EjTVB4YR8QEUwGnjyVN6YXGxkCmHYbURA', 62675770), ('1Kx4g7z7vKs8P44iKaZW3Dc5cTwhCqKa4e', 62678951), ('1NQhQtNxvZ7gpqYDSM4rFAaC2s5JdxfbRU', 62698242), ('1BBa2LyUDav4SR3zNq3fvNUN2mHPwwWcLw', 62718897), ('1P84RNEcCh64RNvu1Xh77H2vCRSGjqrgYo', 62720850), ('1HecKvnsUjspK5Sic9MqJqeCRnP1Lfo2gY', 62730000), ('1MrN8txduUET7tnQd5o6guUuwdZnhCj7iz', 62731232), ('1FqVZYquHJSkHrYP9fuA9T7f6B1iU2CQoR', 62764793), ('1PCSBEYnq1oBb8i98KuYuiiSNBMXqSBo2s', 62766364), ('1Kxi3VkJVBrpAQuDDbCX9uKDWshqtNqEAD', 62782820), ('14H3GCW2dS87T6syg8VYgeGKry4VCJ8LpM', 62791352), ('13JuTntfgHXAWHmeWDvvVT86DxSSJMeMCX', 62795743), ('1DBe7eaKJLAQJM4NMr1iEyHbSRdWoDKQDD', 62805413), ('1m1ZQWMzE1hFbRfDkJ4QCmUSQ6jmWQgLi', 62820164), ('1KUmnuwsq18Kqb9QaDMgDzjzBaTWfx9XuT', 62860322), ('1BpFXHmp9SKiqLqNc3XZh7qm7UXnxdGxj7', 62866400), ('1DPzwvWtUG3xRTDYxJq2kR4zXo6YScXkXx', 62870615), ('136ZMRLNYtubZJxfxQXHJnCb5WzRZP69f6', 62873973), ('14o8Dr2baSNkNbkF7f3kyvomTZnfozUakq', 62881727), ('1BBXdo8FsPQyoUSoWFmv2RwoUSfQKVNU1s', 62900000), ('12HJgBgh7EfkgKu3zAfZKs5H5ZjztCkQRa', 62900000), ('1CGgUPaqevGJQ3xZZ19wCnhueP8Suf8V4k', 62900000), ('17PHhL9KgRULpSD7M3f3zPdYT7veovVK1A', 62900000), ('1gdYhoDz4hDLSYd9YU1xkMeRV5259fA2n', 62902000), ('16DMkXcQxRpNvPpcuT6Xrm8H5LHrd5rzZH', 62907875), ('1Fko3WeK2CCMF3ViV5KFHcBZkNyytt6Coo', 62929016), ('1QH8ptwdiPpniv9o8zqxtbkMNwPqsYbDzH', 62931127), ('125FZ9331tQ1W5jNUEoncvu9xkZtqXEMa9', 62940820), ('1P4iWhDgtLjBcgWg4FCKwjz5EiXvoqfXed', 62943107), ('1DTzjD1reaRSS7bMvCexf22Y798KmfEj4A', 62950000), ('17yehHocJCwY63Nthp6vhzcagKd5u4j9Uz', 62950000), ('1CPvKC9wkd2hSdtYgxw7jDH17SbxaM6SS1', 62950000), ('17ZtYhaf48WWX7p96cQiQXdQ46P5cAntAY', 62953121), ('15U1mC2iYo45bTLbXPP9vjxiM63grPipdJ', 62960307), ('1dHMUujE12FqAoK5mXuLNSwTbsxrt4zQt', 62962000), ('1GjVKzvkqfRoo8nc7VryFta1aMRzLNK3x6', 62978914), ('1J1bVku9aPFmzhpye6XpjtuC6XBP8q9Gxf', 62984207), ('17yzcuBaoSnoBzyenWCEvmZmM5Pq1BYj9v', 62990000), ('19zDU2AKqFEzNbG5Ha3yEqKpABwJhRvRj2', 62990000), ('1QBUDdRAVkMstBdVsvGYxudLUBzHqmPLsL', 62991966), ('1Axz1dVyQ5kezpg2c4ejisXWQvwFfxRtLJ', 62992274), ('1Wyzm7Amz1U1gowg8vcLCeA4TgcfDmLC5', 63000000), ('15T5ovcjAjXR458wWV9vJE1zo9mD3gFATM', 63000000), ('15fudkLcShsRkZUnSZjHdm3BVnUfdPMCEW', 63000000), ('1KDv3noXKhfHQDj82V8QjoPeuS6jHehbMr', 63000000), ('125RkegbZai1Y2ZHKcFLZwevPDfiRy4rS8', 63000000), ('1NqGc1V7fHKstqZp962XEFDEoLP2wGFgMD', 63000000), ('1tcP7Zqi1Tfc4yikcGqVBPs8bo2Q7mshs', 63000000), ('14Jc7WBGPhWRBy7HTCaoTzevwFB9q1Hy9G', 63000000), ('1LL3kEb9b41FgpzhBEk7r3XuEKgg2ZXiaB', 63000000), ('14hzeDh9AbxiT1AyVoFoqBgg4T8RqoYkD4', 63000000), ('1439hnyP6b2zm2chn79bNAHtmLSfKdxtzw', 63000000), ('1J4WiYGa35K2h1NnkN9tswn6hDrcnVN4Ko', 63000000), ('1GaWVEQrydF4cusCzpzeKdgU9peTawRkWj', 63000000), ('1AF7C7yVxjenaJEP4PDX3wG6u8T8GgiiYt', 63000000), ('1EdfyKR6TwhhUfrHghbvLS9wgguKsDv9ke', 63000000), ('1KePSqp3RJiJ3XuAfBcC8jiLZjM3gHFeja', 63000000), ('19JNnQfg8co8SWxN35aWxdLgkNUtdpRDHo', 63018054), ('1NHAzhjzCSeVgLANAGR7rjTNVyzkGaTpfw', 63021642), ('1M6d9ZNXHEsqCHF3i1vjNGgTnoa7a5zx6N', 63023000), ('1DaRJqTAJar3TLLw3wUw6SWvahEcVRcZPy', 63027496), ('1AyuRcC15hmUN6aEd1DQSzXHQDsXeLjUyG', 63036577), ('1JE79kUVKEufYdAeNWLSC3BJdyG5wanf1U', 63049721), ('13qVrqUSEFoSpzJ18NQUFAWZHxJdGLXmYt', 63051267), ('14UJXLcWSfwekDxAKawr6vrtGBe832b2gW', 63066711), ('14iGcyV6zGYtjr4sp5SLEMxQdpAGJ4qDpx', 63068046), ('1LJ4BFixGNNS7YUewF9xxAWpCrVPyLFuiP', 63079264), ('1LyMeDnYSLMM99m4HdhkZw19rzmvqVjZMx', 63100000), ('1JrYADTRu4PGPLxksWHfe3ffNofCqy8UoY', 63100000), ('145kFyEc5Q2cSQKrwQE95Jx8Dqrfehr5SN', 63100000), ('1GpLgubALxoKVRo5mmrzGpAjc2LAm7Y9wx', 63102246), ('1GoqBovNPxwkqhbKVH5WdxCFLV3BGWqU1A', 63106440), ('1hvsMeeW2TiVi2PgM6hcYX58dVG1Pbc4J', 63114937), ('1JTrahZvTZaaN6GL3moJfaZKFtJkH1ksqS', 63121999), ('16NsXLnJp6ggKHYz9QV7AE7wqxdDbHAq28', 63123485), ('1PYw5geJ9ezxiHXoALtbRVgGsHnbjiPEUi', 63124554), ('1HQ3sAc2dT5XChUVH2TTFVVMb3xfPGPoZJ', 63137636), ('1LhP7XHC5H32xd8md8NmEGCSuurWhf3ykc', 63145700), ('1DcjnYm2Yx2qXMNwHnSMJQRZi2HK2F9gwn', 63149109), ('1AmdYCjsFisZTvYvJG3YaQByqFT4iNAeSm', 63150000), ('1CsRUZuwsdRXwhcp1TMQZjV16nxfJEjYVq', 63160000), ('1ESbAGwypJabTTSGgBwdL6Tuv8am65fNit', 63174539), ('16oLxofr7zr81HN1NbjqZYghCgM3bsy6Cr', 63200000), ('1ACzVNi8EFNGjLnyLYwpcSjjy2wCiUb34v', 63209730), ('16z533GEdPSeV8RDrpm9ba1nXvyp9ThM8M', 63227273), ('1DAJC8DTuiRZjKDgSfSDRjqpvqkWp3369D', 63251587), ('1MPdJbHx1by742zyqgsxFUNX857txM7gah', 63261273), ('1As88kL8fhTMUNNp6WD5vBZhPkf2hYYXwJ', 63272803), ('19f4mntdDvtnp39qLZU5jKFKbY9bpA3ghM', 63287962), ('1GzsvuGTwb5wc6VfFCiwFouHepDfRPb13y', 63300000), ('1Q6tJzXEKnzR2ZetZiNZGgLajfTjzojwcp', 63300000), ('1FFmKCDSg6emJ1ngk5JbYPTWrKk18Cy6ZN', 63303200), ('156QnLoABHLxF4uKRsydSfsRAdLpZY9HSD', 63309030), ('1CzV2sfnmxcJJMbUhygyfBcZ5HseuKiEfB', 63315032), ('1Ht4EZi5Kmkaq9x13hVhpr9XofxajiAwLt', 63330889), ('1EZjfGXKo3K36KayJkvHpK9kZZcMkMeA4D', 63336000), ('1D8Hqc6xFfBKDcV1S4XoAdzanXPdhNzuGv', 63340000), ('13jdsQ27DoyDm4Hv8AhMyzoBMpE1QUaAEn', 63356605), ('1CLn1RYmq6P4vH61uiSy1cUCs69zRTrb2f', 63358767), ('1CZ5GiZpZXsix3ByqZfXv3gtks1vL5QvNV', 63374000), ('1rNnnmdQiDkAa8zWASTqkjdCuDfUwj9Pz', 63382000), ('1EVvHg7RNybZ5dMeECmeocvvfoU77iLBoq', 63391125), ('1ML4p7vATyyp19gL6WrDkzrTfq43Di1eLs', 63399168), ('1DsWTFJWkRUEh8SZmcemgHfyEyKPYSmuaC', 63400000), ('1GJNqPCui68VuFYLef2JUx4u7QRLs9CqTs', 63422181), ('1PdFa8qumZXD6E937BGLJDFhcF8CAuBWTX', 63422360), ('1HF5MiGkpEv693MzJfAZoa9qW8sZaraqqS', 63426000), ('12fvZ7dES7KSrUsgu3tRSG4L5hCGCKT695', 63433679), ('145PtcYdh4HCZ29wSZBxCJwu7PNY4BYdPj', 63436400), ('1Ehh7P1MdQCWkvu9CaJJ7ct8V4RbMLhExL', 63460000), ('1Fh8feWnzFUiXwmXkxKBSG1qkd8EFrvV3B', 63476643), ('17LrzWF7YzYAKtszRm7wVmUChPdNFXzkd', 63482235), ('1HRmyhgWs8DfG16DMagSgeBpPF3CkXHrEg', 63491000), ('1DMqUp6MskpV9XdK4bXem2wVdRpucy2ZpV', 63500000), ('14krBTk2oMRSiWVgAWAcbQ8mbERavdhydC', 63500000), ('1PnnGjYrqvMeM7SKZMvXo6koCx6oWykMc7', 63520937), ('1J3MnNprkin2diZmvKzJmdTovSAMoZco8Q', 63537015), ('1NmfBM6L61Qtun4NxhJQuHcGEum8JTLNN5', 63550000), ('1KJG4uLdmbtFWne19KHiS3PWcYouoHd4kT', 63570000), ('1JfEviDEWg268LYtipZkH4u2huo8exwSRD', 63573929), ('1Euy94HDXutQeYyM1tc1yNHqpBHrqydVVN', 63574670), ('13MnJXPCVxTFH8Wzegu6Mq7Ffz9U7P1kBD', 63575327), ('1Fh8feWnzFUiXwmXkxKBSG1qkd8EFrvV3B', 63592573), ('15HR5V3gU4m9dVoEEC9zq4PefqfurUzCo9', 63599947), ('18EgVfUybqVvvfGsUoJS9zUC599hLWV178', 63643991), ('14jbb85YfGrU5jhm3XuHQL5fu2V1VenbWS', 63651500), ('17jdWT84q3SZw3y1G9hFRGWs5NX58i5cgL', 63666838), ('17LbbjjeQDwpLjgrdk4cJz9JBqFq8qAmn3', 63668297), ('1AWBFvMdpX7tCz5ExYma64zbR1Nk1F3yvG', 63670211), ('1BKAy1Ta721cnWXDQz537u6gCEWH1MrECE', 63674222), ('12TYiB5BbhaE5FPGapdWwTFTFCjfM79Awr', 63682246), ('1F7w5ndHvHj6SfK4VFgaATiEnyCAaL75YF', 63687575), ('1AukhswZrbb832Z6dSUsvGXuSm7ByVYQYr', 63700000), ('13sWNZ5TsGA3bFFpmuyGZu1KtijY6pfRt2', 63700000), ('14jbb85YfGrU5jhm3XuHQL5fu2V1VenbWS', 63705600), ('1HBSkCcJsbix35SZwXzaQ9ZXu4xaxQFu9E', 63705642), ('193NB7tANq9yUZ4oZ79UqaphLxja9yrpKd', 63739925), ('16yWFRUhUFCQGT6pZPoM2z7snsuG2btgsB', 63757787), ('1BFUNG6CADWasZya52jftvbjZL7bJTtVxQ', 63777000), ('1NHd1WWRdjYoFrWDTLTHMeBifaAF2nXtzS', 63781122), ('1Lu5ek8ew2qx9N7cganPZ5EYipD1fRkgaW', 63781600), ('1MtQHZxLaXgpza2rkDSqCby5E6eBDfpG2e', 63788144), ('1C6DFeafdRcQrnigiYdYAGtN6DqezFwgxZ', 63791000), ('1H6oH7MxdQTiRCzd8TieGrsbXGoyf9xnjq', 63800000), ('1EvaiPyks8Uup13DN5T9X45dsHjLHMjhyx', 63856224), ('1PSUC4i9DBaDNEa6aVm9qr1adzbG6kkEL7', 63858400), ('1EraE7wzTfqemHWxjqujaQLZs9WNQ6YBHm', 63866000), ('1N6WUEsrSfQF8av3KhJdWQCR8BC4bnGj6U', 63870000), ('16sZuvboHJba8SgXyBBChzWSN823brU79v', 63881800), ('1729v7cwXNMzs6hf4ft8RV5PUx1HpNvrCR', 63894118)]","[('1NHpmM1Kd944wwpKEg6joTEbYAo7YCSm6U', 747329), ('16Gd53uJSG6cP77mkGXpB2Q5JmGFAyZjLC', 16300329), ('3CXxg3avSdgWoS8za9troGXWgMB7nGoVuT', 1825205), ('17mJYvBcFPftQLB5qm5vUUvkDi6gzMF44n', 4800000), ('1QBKLQ6QzJwMgLMeaQbh6gcN2178eUwHVd', 1799900000), ('1CcbdmGt2dw9Z8X9Q9zWHnkJnux6cp93LU', 3738247), ('1C1XCqTCCGSZXtp5bpKwYDfVAyg3mVuySS', 24400000), ('3PQoNG9oH1NBnNgYakYWPow7yDMY5186uC', 34526713), ('1Avt74V7EDj3rodaPoapDmBoNfiqJRgEU8', 16926583), ('1JvT1ZwdrviHQiyfK8vLV5qp7qTu1rdgNa', 2258877), ('18CNV7VgMo8P822NY1sAqs5rusV8CzcmGx', 3773000), ('14HUShXL4FHCbS3RJBnhheeejhso9pStmJ', 10900000), ('1ACQRPXhv3doYYds3b2GQ8a1EPuNYDgPE3', 4642800), ('18C3g7rh9qJYmz6mbLKLALNH9U2nFhyN1r', 468575), ('3GVwdBsASfesJ3pH6s4CAnYE3oBhvipuG3', 438942), ('14GZKRg5Pj9RkJSaoNT9PM8yMzeDvNncRQ', 5000000), ('15wbh8iE4QbZ3TS3uK6KtHcF5a5zvqgvXj', 116641910), ('17dxtBD3Gkea1wMUG58zyPG5qdo9LBc7JT', 1100000), ('3MuRqVTPAn2L4J66yXRMkYVJBiZjyXAm6J', 17989119), ('1PHZnRGagetwPKqxoxCcqo7mybvP2zNSws', 23900000), ('1Mrmrwp1YVDwmQ9kYahMLTtZMxDCQuLGM8', 1430000), ('1NHB8j26FQW4UDGDnw4WAAuSMja9bsk5WC', 11398238), ('39x5t1yDzR5r3fVBpkd3S2HrvqogzdTDFV', 264315928), ('1FEm5tRj3kKtiXKPPnud55HGxJc8h6tSiR', 2955665), ('13EHybi6A1umZx9SDizJfDWSEUaKFRcaKy', 42068498), ('18HLmQrSyxfxUAzyf7kGhrRfiEXiWxtvxK', 37900000), ('1Bghe4sJAfg7dVeKHh6XFbmpEp9ikFQyNV', 379129), ('3NitdbpkyQCDR4gYA3ak8uLXjZUicDDMEa', 192068398), ('3BMEXo6vkVzDoqobB5YVrZqWgcXKKcrCUd', 40657282), ('1KaJN3ggY7C7nVsGXkkrsC7kxfu3hqJ9jt', 6422508), ('1MnDJp7T5Sz5A9pUrN2KEtNFL278y4p5ib', 86894666), ('3B46GHYZGxyQ84UjgVSXPxeR8SkSzr2t3g', 23816261), ('38xoZ6MJ6hhv5pPTMy7JE2eeVY1vbsW1zS', 740000000), ('1N52wHoVR79PMDishab2XmRHsbekCdGquK', 11385371439)]"
8,a4acc05c64693f91a058978e3254c712d0219d8e69219cc5792a6569088d011a,2017-08-10 22:50:12,"[('1CW9MntTW9Q1JoQddtpp3oH3HhaUjVqcZB', 337917), ('16qH4amzt9EJ1y6ADfbChyU8Fo3Zv7wUWB', 10273050), ('1CGSYPCq63Zx45k4t18fGzoAhaUeRQAzWJ', 3000000), ('13RKNMuug5qdpdSScMc3bVWnhuPZVd1tsb', 2915214), ('1A1e8AoR4hKGQtgGK5K6iLxQo3pYpvyREq', 3416400)]","[('1FuWZ9F4xNuB1AEpMBKTuwB97MA75tkmcB', 904592), ('1KaJN3ggY7C7nVsGXkkrsC7kxfu3hqJ9jt', 18937295)]"
9,94f555fba3388846a915f85f42cdf1af5878e3356cc80545250f9d2ff57a6f01,2017-08-10 17:54:45,"[('17A16QmavnUfCW11DAApiJxp7ARnxN5pGX', 92912792104)]","[('1EpxgFefBnJ1Tc5xg66Y3smVcpubRDofpG', 31457), ('1Bkjb9wC5i9wfXQRh8xqXmfba1FKrWbatn', 204943), ('19annGaLV2k992Nm3mT3XWnL1SqB5APG2B', 664800), ('1BbpvXZTS3yqa9Bc6XU1a1rbR5euLfxuPT', 791000), ('16LuqK2BgXfXxqs23qTqniqFuNHntwiXY6', 982575), ('12tukzXQ2fYvS3TYgLRFQ8etwXidJMJc2N', 1091036), ('1C5jRGY41vfxLjHvJX97bZ1EFPXdckF9rC', 1291100), ('19VdwD74kzyVuX1iXmLYaRVzsf8ZRUJvQg', 1306720), ('1k9uizB8ZAuNxaHiN9mdiRgeStg7Vha7J', 1456120), ('19jzbHgxPwxNYJZTtsDhywCVjQ57NRwMEx', 1674108), ('1K67mhCX2J9LmLpcBqiNC3PS3cftqa9PAr', 2060000), ('1Dc142D9zs92JodTzq6JEJoYucQCCeJG67', 2143434), ('14SWfcpgrhmxmgS5sc9dGRDcNbAs5FtUJ9', 2384000), ('16Lyempy3cFvs87Ej5UuMUQz9qcDyuaKsg', 4590073), ('17QLtzUXJUm3K4PmePTgT9g9Kv2NpEgP4Q', 7043533), ('1LZ3GKoCEzT4bLVBo2J23xnTprqGz9W8Ej', 7107995), ('1rj9JG7U9cs9e7kwf3aH2Cp5tBd1jSFmM', 8686445), ('14fxCx82prtF5v5wmL9Lt8uT3zFgnZBUmm', 9990000), ('1F2EnP2Xt4jvMb2bk6Wg14Y9gEGae6kGRU', 13066066), ('1FkcpjDBsK6Fdy78UniroyghExzycp39Kg', 13825219), ('1KaJN3ggY7C7nVsGXkkrsC7kxfu3hqJ9jt', 13990000), ('1LRxpRjyYeeHffVnTk7Yyz7wdXXJMGchmU', 21669327), ('13dnqX2spej3NZZGyHfw8Te9Rh7D8a399R', 33144756), ('19DrW5ZT6E12XBXdgfFPMR3gKV21U685ne', 49990000), ('12K29FRt2JSkwC7Yd1tkgPyGqQH27yBSEa', 49990000), ('17A16QmavnUfCW11DAApiJxp7ARnxN5pGX', 92663289371)]"
