,tx_id,time,inputs,outputs
0,5911480a08a9710f276c2b838cea59bef67ec89d759472b353f3c39f0882ce4d,2021-07-18 01:59:03,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 741661610)]","[('1MdNafdDkeNoftuUJ9ToPLcgGCGPjhPCqv', 2880000), ('bc1q20deungjt06n5kh0p7lk39yk32z8g03av99y5g', 3060000), ('bc1qvfcqawhwuyzu0csfnwnqnusr8g927zjlq2s4e0', 1510000), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 734179633)]"
1,0e2076099f7c8b808448e31073e258056ea9e80e0df2433a4203af3cc6cddd0f,2021-07-14 23:03:06,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 755840592)]","[('15TybkkyTPsGG3bP7hz8j3nx4dyidNQUH8', 360000), ('3FiB4mcQF82uMuf7rWwFo1RjKaEgnHdYsD', 377987), ('bc1qtvw2m2mdqq2zu2vmklgwxh0rl2qyh2qe0jkdv7', 1016090), ('3QhX7VV5x1wPRU2fhjXGzhyfeyiHcJm1Lq', 260980), ('bc1qpa32q3gu3zf4yvlsvs4y5mvsqm5qukten0z9r0', 862500), ('1MdNafdDkeNoftuUJ9ToPLcgGCGPjhPCqv', 3260000), ('3NeMW4oEXjcphSRcgfrdhQTCA82gbz6ZaA', 6960000), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 742691168)]"
2,e2638d052d92ae4b6961e6f6ae31633984cf17d694d1c1dbf1fa5ba77b49d85d,2021-07-14 10:46:30,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 227172600)]","[('1MdNafdDkeNoftuUJ9ToPLcgGCGPjhPCqv', 6050000), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 221100109)]"
3,42c9c0453c198fb93a15d3d9d717171b74e4d1b9c3db3440bf590a45cc3ad4a8,2021-07-12 20:24:35,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 148304126)]","[('3FD9cDvwuVSoUBcm65GDHzuWUTet6uq9tZ', 1183000), ('1PdNrviRwL7a7bpLPQ8PFqF94j8FM9pXYP', 305407), ('1MdNafdDkeNoftuUJ9ToPLcgGCGPjhPCqv', 4490000), ('1LFmDzFoUpXRFaVrdiaj7vBWZesAhiRP49', 31782540), ('3NmJEfai5sJPXnK9vWCtf41tRK9R6UhuVL', 1771350), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 108729142)]"
4,99e6c1c8ead31ae9e89a4a3df97edcb0a73de1c9a240c216bf5d13d406a9c9bc,2021-07-10 20:47:08,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 324879110)]","[('3NHdNwsw4PP7pA5jWo4BzpkDoVjGeEHpjp', 2434174), ('bc1qcvjlzyje629e583nmsls7pwgw0r9rmazf8xndd', 2915000), ('1GKSo9GBGn4MwvpuvUaGAcRU9eH5NS11mt', 3830000), ('16pKSGDtezEKgfj7dKcpv6ubXXWMcdCVVr', 1460000), ('1Aqq8T3rktFmgG4duEXndJCyDs9M64vPnn', 503700), ('1MdNafdDkeNoftuUJ9ToPLcgGCGPjhPCqv', 1157000), ('3KB7oxb7mD5cjX2776ZMaVtdh2bCZyKrqA', 4596310), ('3AoRojFZ7Qh2pMTYMhy5VZVE9Q5aR9PLHK', 6109330), ('bc1qt00hlfx2a2tyan4jeajr9dtauy7xq574m0t84h', 9247718), ('38RHjZNtjfU9obdRJBJSrtms1KboZPZvFC', 36645340), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 255913371)]"
5,e01bfcadc85d718440a6942d0f922c2388588f65397adc925639128546fc8084,2021-07-10 04:04:46,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 939027225)]","[('1MdNafdDkeNoftuUJ9ToPLcgGCGPjhPCqv', 2895540), ('1CpY4bxqiGD5KhQi2ArRwnRFHJUmE2HjBn', 2328560), ('1CNeKQ1f67MXFak37eHC6KWvUDHX6nwL5N', 578021), ('1D1sbfFAWVjMFUmysGwnoH7tC4zTRZp4So', 1771390), ('3Ctv1EgQGrRbZdBDCp9AyMLNSVB2bS6hWu', 2060000), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 929350721)]"
6,a3c04a36425e7855b7f52ad6fb237449c98d29b91e191fff74fae6e37614a618,2021-07-08 22:43:13,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 683045234)]","[('14jhsnYcri4AxXWB8EvGUbj7fur3gW8dhv', 460000), ('1MdNafdDkeNoftuUJ9ToPLcgGCGPjhPCqv', 1470000), ('121oStCvYj2yDc1p7K8ffL6b9eSenW7Cfw', 261900), ('1Nwi3d4ZKf826iuMkZ3NyGNtmHcCoNzPTD', 1710000), ('121oStCvYj2yDc1p7K8ffL6b9eSenW7Cfw', 261570), ('bc1qlp8us88m5arljkzsl49tll9x6h7y5lp7krj8gq', 4252900), ('161kYUSkcWHTsAy6UNKsU1DSkAugPKeQZN', 263820), ('1CSn9tycruYtXgTCwUwosg5EjKR4dGS4PA', 260000), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 674046598)]"
7,34097f0839439a916b41228cf90f8f0d11347425baf3957155e99c7a58b0e569,2021-07-07 19:11:38,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 2807978090)]","[('bc1qd9xppdnag4l4jx3y7xcze6zhjdx0pf4saryfc4', 31160000), ('1MdNafdDkeNoftuUJ9ToPLcgGCGPjhPCqv', 2015000), ('3Hst1ymaVUkkh6mM91wJDFvSmcXihnLA7r', 3387960), ('1E3n2Qo19m1hUim6zSdqqh8hiRhJjs2uN', 12957669), ('3HQQUnGMqH5qJbmWvVWNnwBB4e7Qa6khNM', 460000), ('14kYi2rRCgzdqZSbXLEJxTQvD7QQriGjEJ', 1361918), ('bc1qz90ry474pvwwue5sq8d7ls7am5m22qgfyzzptu', 351100), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 1378113534), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 1378113534)]"
8,f0a71fc3a582e1a9bc0b8beb463946dd4f1a4552c17bda88f9cbf513c6d04e07,2021-07-06 18:53:35,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 896619847)]","[('1Q5soZpswJqujYuwZgtfLXveXbbQgFh87k', 3401716), ('1MdNafdDkeNoftuUJ9ToPLcgGCGPjhPCqv', 1300000), ('1H2TDF9d6um1cNgjz52tQmpWVYjc1kFFQ5', 561396), ('35iZVqhxUyc8TQxwR2j3PEDTQDGArq4z8b', 2483570), ('1J2Wpi6YtEBZE9hvaBwMbfMqYGr5AnbsJ', 360000), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 888470172)]"
9,bbad281a56e353c95875808076161721d1128bba104f903ecaffcafa46679e2c,2021-07-03 02:48:57,"[('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 1066735237)]","[('1MdNafdDkeNoftuUJ9ToPLcgGCGPjhPCqv', 551200), ('bc1qccyuqpn9spptetc9nyhse9ta8g3swaanvc5xjd', 2118689), ('1GM7W8iJmTk8gNHGB7BEb2SqA61RqzGQZH', 1160000), ('32Zumn546qQU54D7UyGGzWkDxc2fmaxxnr', 7887050), ('bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf', 1054980966)]"
