,tx_id,time,inputs,outputs
0,1a49eb6c35ee3ce620a5d51793c5e4881ee6108bc1594a44428d16bdaf0c6ade,2021-02-27 04:35:15,"[('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 163245545)]","[('3LhZ5AztCKMeRjXbLRHjBGGABe3G1LBQfP', 163215364)]"
1,34f8687ec50da751c24e401f815e492b1bdf966ff8fee2c798cb46013d5c4e8d,2021-02-16 18:20:23,"[('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 24763089)]","[('1P6U1t3S7zJyiXTwhihrd7LNEJ6EDQUi8r', 24739451)]"
2,296b4ab8278d47142d30ce8cebd19bbf2f62fea4dc93d5f6a1889af1f4142e4f,2021-02-09 03:23:59,"[('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 255900000)]","[('1N4zUnB9pSchG3PQGuGyoF36ARnFMQZjAx', 255871297)]"
3,60fa2a0c067ea5c62760427d4b951ec84f50dd170052489259736ccb3e02529c,2021-01-29 19:06:34,"[('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 59900000)]","[('1GtKXsWLQJ1Hz2gfQgJGAt9eUiFtG4rf9P', 59871779)]"
4,14c9b5c3ff5dbd9b9207ec4bb2bac622938fb07b9ce7500816d2017e28a6b44d,2021-01-28 23:27:32,"[('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 450288524)]","[('1JSEQDgPPWbCAHxfQ4H3khQhsvzZES3t64', 450269469)]"
5,c149a9348d42c89b1950c5649d6475c5460cccb0f8048cf0df311e03ef955c6f,2021-01-27 01:21:40,"[('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 216695422)]","[('198mbroxopNiWodme741LqyAF11RfeGMs', 216677090)]"
6,b83fb537511b4fc5555d00c9f344613ba573edff07cf607e77ce7e9dc321e716,2021-01-25 13:24:57,"[('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 1395265), ('bc1q3za4j9h2wqyfvzrk0cnwmty72tx6ycswa3yl82', 297428564), ('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 40000)]","[('157JradhhBmiaKxY6wfMs6ry2iEdK7NqmT', 298817571)]"
7,d23da3d1104f4af62facdf9932d705270768202f1de068f54136bb80bfa7b4f9,2021-01-24 05:27:42,"[('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 298979519)]","[('19cFbc6ZBmrywLW6i613QA4ojWp5Nzo75n', 1525265), ('bc1q3za4j9h2wqyfvzrk0cnwmty72tx6ycswa3yl82', 297428564)]"
8,56eec2368a2e7843afe8d4da89b9907c40ed7a72c1604610a8e6a272644a4859,2021-01-16 01:35:44,"[('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 33921443), ('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 40747582)]","[('bc1q3za4j9h2wqyfvzrk0cnwmty72tx6ycswa3yl82', 14093149), ('18eqnTSmUd95VFhGGGzYE5RwQPYQn9nyK5', 60518000)]"
9,5cde0d007460c74d8c3bd9fc30cc1319fa79ccfc4aca5a0486be0c852ddca846,2020-12-24 02:19:50,"[('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 78593323)]","[('1AHy8eWk9dNdHBLTQJRRMaw5Va8nnA63Eo', 78564861)]"
10,dd9391a91124b3478690affdf65207ea697343726f5a0ce694c3968f38d5241a,2020-12-21 04:28:28,"[('bc1q3za4j9h2wqyfvzrk0cnwmty72tx6ycswa3yl82', 648563), ('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 35000000)]","[('bc1q3za4j9h2wqyfvzrk0cnwmty72tx6ycswa3yl82', 24781239), ('12zvEDMqJr6iYgLCFPKGdyZMzVrzfRh1es', 10823874)]"
11,550875961b65bf6d6e69d42dca02a7a8158da9e8e26a608d785018ca0df6976e,2020-12-19 00:41:01,"[('bc1q3za4j9h2wqyfvzrk0cnwmty72tx6ycswa3yl82', 11537714), ('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 52504922), ('1NrygytEkS2eQjpmH2wAoSRjFe4AiSh1bL', 35000000)]","[('bc1q3za4j9h2wqyfvzrk0cnwmty72tx6ycswa3yl82', 648563), ('1GJMaE5Wg3tj4xHiZWx1gjf22dCGqufeaB', 98320000)]"
