,tx_id,time,inputs,outputs
0,5b68fae4cb8238e5ad8295c4a7b2f1e0c461c3c656794b194afd56dd91f7f4cd,2021-10-08 12:39:37,"[('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 14724816), ('376A9x7cezxETrt9Ggv9Kog6R91Jx6rZpY', 482984)]","[('3CoZHf1xFPcx3uhu3bm5wY559PpHNSwJtU', 203414), ('bc1qw3kcjj3aqxzp4dl3ajd2v3qvql9nf7t579hns3', 15000000)]"
1,a5a3196a320d0c4825142300e09c8ddf1fbfeb9ce8f98fe3e77de3a1be97c654,2021-10-06 12:52:30,"[('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 13413810), ('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 13815295)]","[('33kYoA3b2vWPYsFBFWqM6k6zpHW243PFww', 227557), ('bc1qw3kcjj3aqxzp4dl3ajd2v3qvql9nf7t579hns3', 27000000)]"
2,939be493ebcd0f5d013cc4a911360d8a36c197504a93c0e3469638c986e4e718,2021-10-04 16:21:34,"[('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 8161008), ('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 3323524)]","[('376A9x7cezxETrt9Ggv9Kog6R91Jx6rZpY', 482984), ('bc1qw3kcjj3aqxzp4dl3ajd2v3qvql9nf7t579hns3', 11000000)]"
3,eb62eacb460608da5894f3ca63b798d6463eafb6cb5daedad6fae1caf2094d10,2021-10-02 15:17:59,"[('3HoyhYftpiA9uzziKyC9xiRSn22zmD7sAB', 278782), ('39AsvLBMMXTwDp5LiMAaeFAfKDdnEKwhoA', 57845), ('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 19143490), ('37gA98uHfi3XfeMf4gkboKYen3eHLJ88yU', 424837)]","[('3N4XPrumH5XmC8qyDwbM2ZwGq1N7GZrZ4K', 1418), ('bc1qw3kcjj3aqxzp4dl3ajd2v3qvql9nf7t579hns3', 19900000)]"
4,43dbd33de001885d092233c3159e3a91917f7ab702c3dc12a0d2aa0cd513ef2d,2021-10-01 12:55:14,"[('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 18930028), ('3Qoj8drXu7gaqehGJ7Yjh5pCGeW47fAisw', 5350818)]","[('3HoyhYftpiA9uzziKyC9xiRSn22zmD7sAB', 278782), ('bc1qw3kcjj3aqxzp4dl3ajd2v3qvql9nf7t579hns3', 24000000)]"
5,fb9e0c5a74e0e158d756c6df0de128350643b820d0ade55c6d23bf48be362114,2021-09-30 14:22:53,"[('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 18070345), ('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 16085697), ('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 21196882)]","[('3Qoj8drXu7gaqehGJ7Yjh5pCGeW47fAisw', 5350818), ('35qCRt5XbrV3xrS7hTJLVSp3ghtDWQrwk2', 50000000)]"
6,b50e08dfd26e08149f51f871427f628c6378b1e9b5594d4eef73e08c40db4dc8,2021-09-27 15:10:06,"[('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 7767874), ('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 21391086), ('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 5266927)]","[('37gA98uHfi3XfeMf4gkboKYen3eHLJ88yU', 424837), ('bc1qw3kcjj3aqxzp4dl3ajd2v3qvql9nf7t579hns3', 34000000)]"
7,60bcdbc27adebd4dff59bc96012c52b3d1396129fde4abc0be541c9392f22c39,2021-09-24 14:49:17,"[('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 21452442), ('33kKcWcYwVrUwaaExSS4U9Ms1wV35tHFND', 607467)]","[('39AsvLBMMXTwDp5LiMAaeFAfKDdnEKwhoA', 57845), ('bc1qw3kcjj3aqxzp4dl3ajd2v3qvql9nf7t579hns3', 22000000)]"
8,efe6ff7aa8e5395400807a5722a7f489ab52749c8629de188b85cba117eb64a7,2021-09-23 15:22:56,"[('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 5085313), ('3EYvga45XPeZWZ5J8zxQHPrH2qSyMxzPzD', 16476410), ('3J87ma4N3Cxp3ot2rS9cz7s4SsEv945LWN', 5927), ('3Mw4zv57gUVBo9KQnhoGCmsbjKQE6VMSg8', 8575), ('39T8ZPcd2ahySopY83PyekUgp8pcZ6bQTa', 36048)]","[('33kKcWcYwVrUwaaExSS4U9Ms1wV35tHFND', 607467), ('bc1qw3kcjj3aqxzp4dl3ajd2v3qvql9nf7t579hns3', 21000000)]"
9,6e4998224032c72bedb7e8fd364aa894ee048196aae7f510ec969be6bdf5f54b,2021-09-23 15:22:25,"[('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 21189849), ('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 19057654), ('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 17232057)]","[('3EYvga45XPeZWZ5J8zxQHPrH2qSyMxzPzD', 16476410), ('bc1qw3kcjj3aqxzp4dl3ajd2v3qvql9nf7t579hns3', 41000000)]"
10,5b68fae4cb8238e5ad8295c4a7b2f1e0c461c3c656794b194afd56dd91f7f4cd,2021-10-08 12:39:37,"[('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 14724816), ('376A9x7cezxETrt9Ggv9Kog6R91Jx6rZpY', 482984)]","[('3CoZHf1xFPcx3uhu3bm5wY559PpHNSwJtU', 203414), ('bc1qw3kcjj3aqxzp4dl3ajd2v3qvql9nf7t579hns3', 15000000)]"
11,a5a3196a320d0c4825142300e09c8ddf1fbfeb9ce8f98fe3e77de3a1be97c654,2021-10-06 12:52:30,"[('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 13413810), ('36Ayjmv1qTkMSp36vkvFM3wahTx74PxsVs', 13815295)]","[('33kYoA3b2vWPYsFBFWqM6k6zpHW243PFww', 227557), ('bc1qw3kcjj3aqxzp4dl3ajd2v3qvql9nf7t579hns3', 27000000)]"
