,tx_id,time,inputs,outputs
0,4b032daf418ddbdd86c46ee56c1f3ce035447f0b89cdc3481ee015e5c8fac80c,2021-10-22 11:41:21,"[('3PZj9L6VF14SH2XhUxknMg4eNYWSZ23PnT', 31706120)]","[('36XWTfSYJJz3WSNPZVZ3q3aa5eFuJHR9nu', 31705772)]"
1,9f9013ec7f2e68738167e50ca7a9aabf1d4dec6c32a1e157d45f54d509801c0a,2021-09-03 11:27:33,"[('3PZj9L6VF14SH2XhUxknMg4eNYWSZ23PnT', 584616750)]","[('1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG', 584616051)]"
2,b1e5923b4b992028098eeedc3d90e1dfb202efa57764f86d5182a52199fb5a9c,2021-09-01 02:59:40,"[('3PZj9L6VF14SH2XhUxknMg4eNYWSZ23PnT', 499960000)]","[('1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG', 499958254)]"
3,3a1277472f1f80a34d0efa291a03b2b13ca8fea5f71d9f60c15f85992ce465dc,2021-08-11 00:17:11,"[('3PZj9L6VF14SH2XhUxknMg4eNYWSZ23PnT', 21787170)]","[('1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG', 21786471)]"
4,3804b385a9dba6186d2f98f24f882e54008d5e7bdfe0bba5799efc6f9408c8e9,2021-04-21 04:45:26,"[('3PZj9L6VF14SH2XhUxknMg4eNYWSZ23PnT', 1850759837)]","[('1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG', 1850668350)]"
5,296ff54fd89b1e971b58056b819de6553e2eb82577a611881c93afe2a41bc274,2021-03-21 02:05:47,"[('3PZj9L6VF14SH2XhUxknMg4eNYWSZ23PnT', 165113300)]","[('1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG', 165108411)]"
6,0f1cf7230ef8f3d2d4832a9e69f92835bac1e6fe97cadf0fa7a581ac04bacb4e,2021-03-12 08:30:24,"[('3PZj9L6VF14SH2XhUxknMg4eNYWSZ23PnT', 199960000)]","[('1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG', 199928573)]"
7,2989bc0d6c2eb01d7a9ac07e8a6a09a6d32adb67aba268331b01d724295acb4d,2021-03-10 01:46:52,"[('3PZj9L6VF14SH2XhUxknMg4eNYWSZ23PnT', 199960000)]","[('1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG', 199938001)]"
8,2a3d3d9dfca8a6eb0791afc9677893a18c7414067622c9bb7a2fa0910b5c24ee,2021-03-08 03:07:38,"[('3PZj9L6VF14SH2XhUxknMg4eNYWSZ23PnT', 199960000)]","[('1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG', 199955460)]"
9,82eb1b621e25c7a91f6470163a228ab069bb09cf0a61f9a573dd6a45dccaec40,2021-03-07 03:30:31,"[('3PZj9L6VF14SH2XhUxknMg4eNYWSZ23PnT', 199960000)]","[('1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG', 199955809)]"
10,badffab8d35fecbce89465d486603a9d1f369c79e76077258a14acc58156f825,2021-03-06 00:35:45,"[('3PZj9L6VF14SH2XhUxknMg4eNYWSZ23PnT', 199960000)]","[('1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG', 199923684)]"
11,3789d62ff6231af6fd63ae572393c12cbff84fde2ae24eef4dbd81a188a9e06c,2021-03-04 17:36:35,"[('3PZj9L6VF14SH2XhUxknMg4eNYWSZ23PnT', 199960000)]","[('1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG', 199928922)]"
12,e654532fa3617d0bfcf2ea637a5d7e8596b8a3c25ce862c5bc861ccd29c38715,2021-03-03 01:38:52,"[('3PZj9L6VF14SH2XhUxknMg4eNYWSZ23PnT', 199960000)]","[('1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG', 199922288)]"
