,tx_id,time,inputs,outputs
0,5c6f26faf80dcaee2811730c79ffeac0c472f9678fa7b3ea8bd34bed1a2d9615,2021-10-25 14:00:57,"[('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 668112)]","[('32mY66v2RptzDwHg2MGb3k6UABgSiPtKB8', 431320), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 236366)]"
1,dcb947ae5ae698d146f432e531b1e724eb73b7db514e7679e4cd2f6b4ccf53fb,2021-10-22 15:32:28,"[('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 165000)]","[('1Ga7TGWnJZvnqUvzN6t3CyqeZMStsTgUgP', 163644)]"
2,d9c3531416019bbb2bc51b04effb07c1ec1c252fe32f4c48eda81c304175cc8a,2021-10-21 21:44:07,"[('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 37426), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 154950), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 81181), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 150341), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 7096), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 64675), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 121255), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 76634), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 66517)]","[('1Ga7TGWnJZvnqUvzN6t3CyqeZMStsTgUgP', 751534)]"
3,32d3d13355bc73ab3b2da6ff63432885377765e571b16a6d57d4dfb8519d60d1,2021-10-21 17:54:10,"[('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 208686), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 220974)]","[('38txiRM1ESPHpBxBkAr5Ym5JdugxTFR7pR', 372122), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 55018)]"
4,d84fdffffbd49d3cfb57432f83fe2a1812fa1cf6d2f48ec19f21fea28f4f938c,2021-10-21 17:54:10,"[('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 55018)]","[('bc1q0du90sjce8sze9jye3tqr8wm8ltx3uyxp0zq3a', 15900), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 37426)]"
5,d523b2d652ab5c2c29b798d590afb5ba14e6fbd141753015793568dd38fed3f6,2021-10-21 17:47:37,"[('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 228754), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 300838)]","[('33UYWqfquXxkXYD9726kAk9Lcv2tSFyCrL', 372122), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 154950)]"
6,4873675de5eb8684fa2ba7e5eb4de128e8fe417d10aa3eaac4b1d90a6cd80785,2021-10-21 17:47:37,"[('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 419898), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 557753)]","[('3Fc61y57ST7kThLJ8w1HAbjX7h38qhYUfU', 746377), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 228754)]"
7,5923b1dff57a4a389fec7b5b214cd84d7f5fd5afac3e2063e78da503b586350c,2021-10-21 17:47:37,"[('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 657993), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 658001)]","[('bc1q5t9eqhvms85zz3q8dcy8tfrrz9k7s0dmj9s248', 1012648), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 300838)]"
8,f8a10adff3bb6421ec6a950d41b036d6e0f1da3f84d03e8cadd717ec5bfdaa61,2021-10-16 13:48:09,"[('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 559173), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 593261), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 615917)]","[('1GNgFqbkWcvtAF9yQSitFwyswUzDiiLVz', 1344533), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 419898)]"
9,b166e37dd3b7807f177e22b64b362261ecb0c25f6a627c674de1d223f7c3e354,2021-10-07 03:15:00,"[('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 240394), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 344391)]","[('1Ga7TGWnJZvnqUvzN6t3CyqeZMStsTgUgP', 500000), ('bc1q4ft5mv0xw6rp5x66gu76ll6py770t9894pxk2s', 81181)]"
