,tx_id,time,inputs,outputs
0,3785d1ea449f351cc56b8ab854f9d6c7ec1d45225372811fb057ffdad3fca565,2021-10-18 18:15:25,"[('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 171700), ('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 46700)]","[('3DGFCCU1QZTu2dJCDqP2LAkoXNiKnRGShX', 80971), ('bc1q7gnmqwfyp5cwdxkj056tx8des4t8ed8yt6339v', 133370)]"
1,d260dc92fb4d1e1695a89dd7c1704dee6f0816e099b1ceb1a1ed00df0441e066,2021-10-08 07:34:21,"[('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 255100), ('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 3349399), ('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 259400), ('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 157100), ('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 198000)]","[('bc1q7gnmqwfyp5cwdxkj056tx8des4t8ed8yt6339v', 2361290), ('bc1qlqsv2z4plcgzu0h8m0resw9cczghjmcv8zx864terrpzwaa0hzeqn3p2dl', 1843000)]"
2,792bbd907cda4bfea4f5f1d39ece30ef3c9be0f482ee7b956dd3852555bcfa8c,2021-08-30 04:06:21,"[('bc1qeedslc5h68lq0tu8082lhc4z0wdlymmfu0d2j4', 4351746)]","[('bc1qhlp75p6sx7cyu0hzv4n7hj7t6u6q5jayvsqefw', 3829973), ('bc1q7gnmqwfyp5cwdxkj056tx8des4t8ed8yt6339v', 521180)]"
3,a7c45204807967484e28bf1b2cd135443e1c7988370c0086a26ea08fcf4adc0a,2021-08-29 23:50:23,"[('bc1qvsxyeg7fmlvh5fn0zsnnv9fe4jzrgpu4apnzly', 464682)]","[('bc1qyavzmvxnhe63fggdcaaty43gnnk3huwnw06dc4', 6597), ('bc1q7gnmqwfyp5cwdxkj056tx8des4t8ed8yt6339v', 457640)]"
4,26caca08a6206ce87a32440ea25915150d5905a3fa0ff2fc7aa1a728a48104a2,2021-08-23 21:31:43,"[('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 261600)]","[('bc1q7gnmqwfyp5cwdxkj056tx8des4t8ed8yt6339v', 210135), ('32E1FN8KY6chwYozwJ8DV69pmcm3YKrKpT', 51000)]"
5,3785d1ea449f351cc56b8ab854f9d6c7ec1d45225372811fb057ffdad3fca565,2021-10-18 18:15:25,"[('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 171700), ('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 46700)]","[('3DGFCCU1QZTu2dJCDqP2LAkoXNiKnRGShX', 80971), ('bc1q7gnmqwfyp5cwdxkj056tx8des4t8ed8yt6339v', 133370)]"
6,d260dc92fb4d1e1695a89dd7c1704dee6f0816e099b1ceb1a1ed00df0441e066,2021-10-08 07:34:21,"[('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 255100), ('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 3349399), ('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 259400), ('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 157100), ('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 198000)]","[('bc1q7gnmqwfyp5cwdxkj056tx8des4t8ed8yt6339v', 2361290), ('bc1qlqsv2z4plcgzu0h8m0resw9cczghjmcv8zx864terrpzwaa0hzeqn3p2dl', 1843000)]"
7,792bbd907cda4bfea4f5f1d39ece30ef3c9be0f482ee7b956dd3852555bcfa8c,2021-08-30 04:06:21,"[('bc1qeedslc5h68lq0tu8082lhc4z0wdlymmfu0d2j4', 4351746)]","[('bc1qhlp75p6sx7cyu0hzv4n7hj7t6u6q5jayvsqefw', 3829973), ('bc1q7gnmqwfyp5cwdxkj056tx8des4t8ed8yt6339v', 521180)]"
8,a7c45204807967484e28bf1b2cd135443e1c7988370c0086a26ea08fcf4adc0a,2021-08-29 23:50:23,"[('bc1qvsxyeg7fmlvh5fn0zsnnv9fe4jzrgpu4apnzly', 464682)]","[('bc1qyavzmvxnhe63fggdcaaty43gnnk3huwnw06dc4', 6597), ('bc1q7gnmqwfyp5cwdxkj056tx8des4t8ed8yt6339v', 457640)]"
9,26caca08a6206ce87a32440ea25915150d5905a3fa0ff2fc7aa1a728a48104a2,2021-08-23 21:31:43,"[('1Q8EJnx5DPEUfKKzHneycDqoDgMy77fCd9', 261600)]","[('bc1q7gnmqwfyp5cwdxkj056tx8des4t8ed8yt6339v', 210135), ('32E1FN8KY6chwYozwJ8DV69pmcm3YKrKpT', 51000)]"
