,tx_id,time,inputs,outputs
0,a5e8a72247d55d7b32fb8c5e3c041e4d7f827705f694716b67c74dbc8f8dd730,2021-09-03 06:06:21,"[('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 125369)]","[('17rspZHvT3F2CCgyRfzDcSC39AKexvLtjM', 124201)]"
1,35ba8e996eaf68cda89fd19add9699ef3278958c39bb22fcd242e06500c33848,2021-08-30 07:53:17,"[('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 111999), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 130306), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 111559), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 123983), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 124938)]","[('17rspZHvT3F2CCgyRfzDcSC39AKexvLtjM', 598851)]"
2,4557c01be9521c8890e9b93c090265784651d9817ae8111425db09f7f67fdc3c,2021-08-15 10:19:50,"[('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 108956), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 111427), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 137149)]","[('17rspZHvT3F2CCgyRfzDcSC39AKexvLtjM', 353638)]"
3,d3875453c45bc565b09b31dff4eda13a0faf6e51167c6bfab44c4ea409f1ff4e,2021-08-06 18:26:40,"[('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 138858), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 100713), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 67252), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 107946), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 24699)]","[('17rspZHvT3F2CCgyRfzDcSC39AKexvLtjM', 431038)]"
4,c988cdc6b2457ff7d293c5dadbae3b79f692f161b99f0f8cffba707afeb603d3,2021-08-02 05:45:47,"[('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 119785), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 113147)]","[('17rspZHvT3F2CCgyRfzDcSC39AKexvLtjM', 160000), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 67252)]"
5,187420496cdb42828d499ebb03bf2df7558689be75a35adf3d5a5b390aa06427,2021-07-28 05:53:58,"[('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 139379)]","[('17rspZHvT3F2CCgyRfzDcSC39AKexvLtjM', 110000), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 24699)]"
6,dd00adaf0c8cf9acadce2e0dc3a5f63dcf8b76d384efa0ff2524a0d027901bd6,2021-07-23 17:33:12,"[('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 100517), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 132959)]","[('17rspZHvT3F2CCgyRfzDcSC39AKexvLtjM', 222976)]"
7,e3926b08b5bc67ab857cc7519c2d4101cfbf4179e027416bdfa3272169e755e5,2021-07-17 05:38:59,"[('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 142010)]","[('17rspZHvT3F2CCgyRfzDcSC39AKexvLtjM', 135586)]"
8,a5e8a72247d55d7b32fb8c5e3c041e4d7f827705f694716b67c74dbc8f8dd730,2021-09-03 06:06:21,"[('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 125369)]","[('17rspZHvT3F2CCgyRfzDcSC39AKexvLtjM', 124201)]"
9,35ba8e996eaf68cda89fd19add9699ef3278958c39bb22fcd242e06500c33848,2021-08-30 07:53:17,"[('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 111999), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 130306), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 111559), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 123983), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 124938)]","[('17rspZHvT3F2CCgyRfzDcSC39AKexvLtjM', 598851)]"
10,4557c01be9521c8890e9b93c090265784651d9817ae8111425db09f7f67fdc3c,2021-08-15 10:19:50,"[('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 108956), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 111427), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 137149)]","[('17rspZHvT3F2CCgyRfzDcSC39AKexvLtjM', 353638)]"
11,d3875453c45bc565b09b31dff4eda13a0faf6e51167c6bfab44c4ea409f1ff4e,2021-08-06 18:26:40,"[('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 138858), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 100713), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 67252), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 107946), ('bc1q9vz4ltgdmmvxglpe3wcszfcw4sdxmzjeusq9yr', 24699)]","[('17rspZHvT3F2CCgyRfzDcSC39AKexvLtjM', 431038)]"
