,tx_id,time,inputs,outputs
0,8205bb0bf77f8f7edf05cffcbc067209107922be792fc3d5f29c727f312af46d,2021-06-15 19:43:05,"[('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 25975996), ('bc1q59e9fs96v8ls5dnp7frd8hk4g2e960wvse5erl', 4039648), ('bc1q0pj0kw0f5fwnqe9m43de00rp2rzc07neqmry02', 22000000)]","[('32HziArscvJd3wE8CH1ngtWw2Zvbqxyoid', 32000000), ('bc1q59e9fs96v8ls5dnp7frd8hk4g2e960wvse5erl', 20005683)]"
1,0723157a428a49fe89d84b7a46f7b5927c1a83499d11d122b4a231bc2c8bd184,2021-05-25 18:01:07,"[('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 1709292), ('bc1q0pj0kw0f5fwnqe9m43de00rp2rzc07neqmry02', 293000)]","[('bc1q4yzu6apnrxt2jxch5szwcz2xh7ltp5ypd5lsx2', 693696), ('1MwS2DjZ2A13ECzJDD12knY3f7VbzT62bx', 1285000)]"
2,395105ebc76fccbfb8381469983ad883082f54b53848c8c7c597ed721eaaf78b,2021-05-21 17:03:28,"[('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 2711216)]","[('1MwS2DjZ2A13ECzJDD12knY3f7VbzT62bx', 980000), ('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 1709292)]"
3,513055ea44c8c5f51f918a9b944d1225cdf1c3614b0187781ab208b8dfc3c418,2021-05-20 16:31:53,"[('bc1q0pj0kw0f5fwnqe9m43de00rp2rzc07neqmry02', 3463789), ('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 726365)]","[('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 2711216), ('1MwS2DjZ2A13ECzJDD12knY3f7VbzT62bx', 1450000)]"
4,aa45953fb7f0952b7b880d3e13d7e686aed67812ed5139a26d933989cb7d57a8,2021-04-28 15:40:03,"[('bc1q0pj0kw0f5fwnqe9m43de00rp2rzc07neqmry02', 1035582), ('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 252359)]","[('1MwS2DjZ2A13ECzJDD12knY3f7VbzT62bx', 550000), ('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 726365)]"
5,09e7deacf7f5f563362f5e15698b53fc8b1bf9159e7cab24bd6eec3e58b52cde,2021-04-11 10:55:01,"[('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 453037), ('bc1q0pj0kw0f5fwnqe9m43de00rp2rzc07neqmry02', 706000)]","[('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 252359), ('1MwS2DjZ2A13ECzJDD12knY3f7VbzT62bx', 900000)]"
6,944352940d3af94c6913fabb3b34f8c8781ecc3f97139402ac758521df4a9344,2021-04-10 07:22:16,"[('bc1q0pj0kw0f5fwnqe9m43de00rp2rzc07neqmry02', 287848), ('bc1q0pj0kw0f5fwnqe9m43de00rp2rzc07neqmry02', 576530), ('bc1q0pj0kw0f5fwnqe9m43de00rp2rzc07neqmry02', 685000), ('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 138106)]","[('1MwS2DjZ2A13ECzJDD12knY3f7VbzT62bx', 1200000), ('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 453037)]"
7,b6a32c35d228ba588375a154732ce595e6189b2921aade9dfec8ab904114ad28,2020-10-20 19:14:28,"[('bc1qkcqm2fd2plyl6lvpmnwq59tsdu5ujcrxm9quz4', 28530756), ('bc1qkcqm2fd2plyl6lvpmnwq59tsdu5ujcrxm9quz4', 3881840), ('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 9796486), ('bc1q0pj0kw0f5fwnqe9m43de00rp2rzc07neqmry02', 3800000)]","[('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 25975996), ('14rU63cdTahKs7MXS7U7vevuJZvFJmzn5C', 20000000)]"
8,40bb5286c46b98f98b35113666c0e61996916e911a1baa8b3ec2e89d99912232,2020-10-16 12:19:29,"[('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 4454976)]","[('3FLLm3Hakf2QQNVBwyPKqvTp9VDEDncKvu', 562400), ('bc1qkcqm2fd2plyl6lvpmnwq59tsdu5ujcrxm9quz4', 3881840)]"
9,73b4618bcadf06e1fefaa8eaf2f7e55828d87bb9a695ce83f23136a2609f5058,2020-10-16 12:16:02,"[('bc1q0pj0kw0f5fwnqe9m43de00rp2rzc07neqmry02', 4583466), ('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 187386)]","[('bc1qdvqm00c9ljrphxeas8ls9tgzml7e3kkc3ydlw0', 4454976), ('3G35pTkaBTHjbgioBWob94qFvPnYm1DiPL', 300000)]"
