,tx_id,time,inputs,outputs
0,328e6018f88302ee86b1465c0a261deaf4f58157e72fbc5157f056b675960392,2021-10-19 01:03:18,"[('1CGFxjHFKqwZHCwt9H2CGs471QuWw7b27Z', 8292), ('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 8036)]","[('31yKQgsmj817ikPkhd24dcE8p2TjbZ4D9X', 8042)]"
1,644fbc0e1cf4db231808bf6c407abbfe85666cf86e0e4cad7c3bd52cf2e7d892,2021-09-18 19:37:05,"[('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 18092)]","[('3QSBiV2jJjrGvSqHJrfNigmxk7o8WPwajR', 13471)]"
2,d0bd523871bd0629e6bb80287cf389cf7cbbe814da084bfa760f558fcf64060d,2021-09-12 16:41:17,"[('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 30449)]","[('3A1bGuPsoUcRtWhSkf7E9mAZHcuuKDKpmA', 10855), ('bc1qcna0vnfultjzn0unc8lmlt9yzu0q5e8t4fh3lu', 18600)]"
3,a49649d1f393aaf9e2acc08954455f67696322e292fb1392778a41b88b37258c,2021-07-26 18:55:29,"[('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 31500)]","[('1HTkB6jntCbMeRhQAjRDYqbBNujBirHVqj', 30603)]"
4,d6f464d3f6646899ecb276e14fe1ffba1a90ecbc631398fc3301c3ac9814dc37,2021-06-27 16:09:15,"[('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 67739)]","[('3NQCVeBxcAN9Na1vKHao2X3kqjeFopL5y3', 30209), ('bc1qcna0vnfultjzn0unc8lmlt9yzu0q5e8t4fh3lu', 29862)]"
5,f10210fc62785579f21d010154a0244d2a93168cfa7dc412f53f03f26d71c3a1,2021-06-08 05:21:31,"[('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 11545), ('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 79099), ('bc1qcna0vnfultjzn0unc8lmlt9yzu0q5e8t4fh3lu', 14341), ('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 60700)]","[('3LdYD5FNaUov8CKRa1qwiU8SUXYgiYDeoT', 151951)]"
6,cfc2b7d285385751b389f5b03062f0b25e13459873322850d11a3abf031005c9,2021-04-22 19:43:10,"[('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 197792), ('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 13163)]","[('bc1qcna0vnfultjzn0unc8lmlt9yzu0q5e8t4fh3lu', 104686), ('3PvQtaf1CkTyuCkYiCHGXfqdYdcjeqBzYB', 46954)]"
7,6c52787bddb120b8d277220c0db54c30305dd15075763cba9b5a37b5fdeb5bb3,2021-04-16 09:00:18,"[('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 47035)]","[('38Rb7N3cmpoCvTWbWPKTm87kmRBmgefH6w', 16278), ('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 13163)]"
8,6074c43b9018778c33eb207fe8aeca63a6d9338a5827fd2f8f0b10543538732f,2021-04-16 08:25:17,"[('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 193691)]","[('3QxzU5dQP3NpPNVqigq56jx38Nk7TvSAG3', 130404), ('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 47035)]"
9,fce9c8a9e574024b86211af5735166115634361cc62cb40146acf11e549c119d,2021-03-21 17:28:03,"[('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 74666)]","[('bc1qcna0vnfultjzn0unc8lmlt9yzu0q5e8t4fh3lu', 6024), ('1JBaAGCavRKAPuwzGkkhwMM8C5EUmkZDK8', 52463)]"
10,9d2db44021ab69b21a748e91aae9e523200d8b84c0802d597106174f3402efe5,2021-03-20 10:51:27,"[('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 610000)]","[('bc1qcna0vnfultjzn0unc8lmlt9yzu0q5e8t4fh3lu', 584770), ('34UMpMftzQ5ERJnYgNqE4jgv6EGDqi6g9q', 8530)]"
11,ba4989f570cc048abd4d8174a313ced160fa989eb404b995e18c9aa09af8c345,2021-03-10 23:31:07,"[('bc1qhf46v34qxndex28y07zhlkppluxvx640s6z4wx', 265840)]","[('3GdL7Aw5SKpMy2DRwQtCathFv18Ri2HtFH', 254054)]"
