,tx_id,time,inputs,outputs
0,fd551131af56b369393aa369e3d3111ebaf596c7586ea68dc7f6f23e59cb2da7,2021-10-23 21:00:08,"[('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 1766), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 245254)]","[('bc1qfw6j6den4ghyfteu627u7z7qqkc05ukey6r72s', 242296), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 2425)]"
1,f076b1046ed4a3a1bdb53c484f9c546bb564dbdfd4b6b14eb6cc3b6408a55398,2021-10-20 22:57:23,"[('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 3228), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 5516)]","[('138SZfGdKzfAdRdCH8HSqoUnvVXw2qpJ1s', 4545), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 1443)]"
2,ad4195f6aecf2a19eb89b647102a5175d601b964810a76ad988dffce0626a85c,2021-10-07 18:45:16,"[('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 54930)]","[('335QxH42qdR4J3tWLRL5LyNavXFUHo9vHd', 47000), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 5516)]"
3,c688da28ad7cbd191364d34df09b3f7d5dced75b8e542858e880f8fab25be4c8,2021-09-22 16:28:30,"[('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 11577), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 19778)]","[('1FVCj2inLngaqUJ5pbwzb1X4qqyQ6Xgs8d', 27681), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 1766)]"
4,e0513ba447b4e16b67c841fa6fdfa71d4d1f8a1b12b318c2a9bb17969189b6ea,2021-09-20 15:16:58,"[('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 22434), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 37865)]","[('32VYiJXcpifo3JmqXLw7QJdvApP69KDBby', 38631), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 19778)]"
5,da891078f4da16f244fa378857ec9c03698b2f4e4d1be938007efdc7cfe3e40f,2021-09-19 16:50:08,"[('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 116688), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 1605250)]","[('14xfgDgdVEFPV7xd8FpKWWE81g7oMTNF5V', 1682589), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 37865)]"
6,b649267bee90c476148b360016c170d524ab2afd020789a2a697c44cf9fbc3b8,2021-09-19 16:28:49,"[('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 1962700)]","[('bc1qmyr86gu2t8xkv2u64wpqm4cm80tgsws82mw60x', 356463), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 1605250)]"
7,23f9cb1823a2176a6f75b967cc503fc1250736559babaa21bcdc804fb1179212,2021-09-17 20:13:41,"[('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 181274)]","[('1M2VZSwiGNdDFYEPgNLP9R4PE1kjw7DmCz', 63290), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 116688)]"
8,f7cc0ae47d82b2e03659427d36b29a3eaf6e60c4aded76812e07f22e1e3f6756,2021-09-15 19:31:23,"[('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 283654)]","[('362JiZkjf31WMDMJbcaFEiudU7cy9SGF8o', 100676), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 181274)]"
9,6fbbfc1abffeaec921632755214d4d6e9eb88654177dce524a2ec3c830b1fd83,2021-09-15 19:10:38,"[('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 45070)]","[('3HXEMj5ktYJquq7VfbDjxVEWvrXL9UFYeY', 20790), ('bc1ql8k9v3rxzgcvxdk4jnr4djlsn3mug4s5yytamf', 22434)]"
