,tx_id,time,inputs,outputs
0,ad8b4a5c53456a87772cb5f618a0bab9f91ef49eba8f8fd307ccfd1718ef075d,2021-09-23 10:35:07,"[('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 105644)]","[('bc1qjv6px4g9alvqwhr2w3ekwtrpuffa57jhcdvker', 104654)]"
1,0b4454c7746b1f666dd88e0557ab7e2dcbab9347f5dc14d8882e73b7a3b0db58,2021-09-20 08:42:16,"[('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 106288)]","[('bc1qjv6px4g9alvqwhr2w3ekwtrpuffa57jhcdvker', 105628)]"
2,e0bf42a69ae8fd878ff24cb4301fbdd8efb7602268afc96df3cfa5f5f59cd18a,2021-09-17 06:56:11,"[('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 133992)]","[('bc1qjv6px4g9alvqwhr2w3ekwtrpuffa57jhcdvker', 133002)]"
3,7dd9fbaa4f51579cc17a565fc5fcc52718cdb0390a78c50d817d6c5ba931e800,2021-09-02 00:46:16,"[('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 113239)]","[('bc1qjv6px4g9alvqwhr2w3ekwtrpuffa57jhcdvker', 112029)]"
4,29a07df1dc8c8f16c106a881e16d986bc7d2dab25f310d4b5b7e6c8f28ec9bf6,2021-08-27 17:16:58,"[('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 129046), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 104289)]","[('bc1qjv6px4g9alvqwhr2w3ekwtrpuffa57jhcdvker', 232623)]"
5,4aad18c8665a32d5e6d9d4a2a19e8cb765724f20fbae1250a4d399902d42730d,2021-08-19 08:24:40,"[('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 139060)]","[('bc1qjv6px4g9alvqwhr2w3ekwtrpuffa57jhcdvker', 138620)]"
6,1086d91db01825c7f9f2cb10f57ed79449bb432c4efb2437b6769c70842211b2,2021-08-16 07:46:42,"[('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 141374)]","[('bc1qjv6px4g9alvqwhr2w3ekwtrpuffa57jhcdvker', 140824)]"
7,5e0b05f5aeea04af958fdc313e2cc3aa0e8c637e4b8cf5d8fffd205c5ef69ee8,2021-08-13 09:04:27,"[('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 151806)]","[('bc1qjv6px4g9alvqwhr2w3ekwtrpuffa57jhcdvker', 148726)]"
8,5d27eefc9ce08e46cec8a237d08ea70b2655c61bb11c40af3103924f2e846013,2021-08-11 20:55:02,"[('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 403403)]","[('bc1qjv6px4g9alvqwhr2w3ekwtrpuffa57jhcdvker', 402853)]"
9,1c9babc98d9b6ddfa31fe96d1f133b799d4afa9baa6cefe747d1c7e55edcb6eb,2021-07-31 12:58:21,"[('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 237834)]","[('bc1qjv6px4g9alvqwhr2w3ekwtrpuffa57jhcdvker', 237504)]"
10,2d70a86f6c307719deb65396ea4928dc7f34c75fd957ad869ed270552566ab1e,2021-07-23 15:29:19,"[('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 103985), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 131398), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 150175), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 117905), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 104972), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 140295), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 108007), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 127453), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 122546), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 111409), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 131477), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 103042), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 119125), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 106648), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 135083), ('bc1qm84txdh5804qyamgcnzsdd7qke7ah44uzrsa8d', 10000)]","[('bc1qjv6px4g9alvqwhr2w3ekwtrpuffa57jhcdvker', 1819000)]"
