,tx_id,time,inputs,outputs
0,94af9c7fdb37b840adbd1c19328b0395eaedc922e088d67170c823ae7c4ce359,2021-09-06 09:40:48,"[('bc1qel7098emj3tuvnj5k80pwtlrkvfgpgpjx4t36x', 256074), ('bc1q5lqch908f6dtzm6s00fetxj8radh2n49k2drng', 22578560)]","[('bc1qn9yq8yrujjhhkv058gen3y00yr9tzc94kqvqfm', 22603376)]"
1,9d78c1c0bea4ed98a82157847bfe8a382d5d693566784c24b7a79fa7c63b708f,2021-09-05 19:22:08,"[('bc1qp7ll0c8p9kt59ltnarcmz64kqjz0uqkvspqdyk', 25008277)]","[('bc1qel7098emj3tuvnj5k80pwtlrkvfgpgpjx4t36x', 256074), ('bc1qn9yq8yrujjhhkv058gen3y00yr9tzc94kqvqfm', 24599953)]"
2,7fdddf84232e4c42925f1d9768a35531c066888278251bdd18d6c814dff44953,2021-09-05 18:14:14,"[('bc1q9uvw5nl9uq3lkccr56aunx6zc2lss9fgj7cthw', 52565410)]","[('bc1qp7ll0c8p9kt59ltnarcmz64kqjz0uqkvspqdyk', 25008277), ('bc1qn9yq8yrujjhhkv058gen3y00yr9tzc94kqvqfm', 27394008)]"
3,7f5508ad0f8b2e8fb2ffc626f566825cd51063646acab92ad5773ab9997a6065,2021-09-04 21:24:56,"[('bc1qy7kc2udmvm6sh9afgr5tusus9nm6sksn480lug', 12205663)]","[('bc1qn9yq8yrujjhhkv058gen3y00yr9tzc94kqvqfm', 12154559)]"
4,ade02ec63d49aa04aa60701bda0321a98d072406cc14184757ed57ce381e0af6,2021-09-04 20:54:32,"[('bc1q4myv3f6hvn4cd8ncunmvll2wqxjhdn36jy5vkv', 37818717)]","[('bc1qy7kc2udmvm6sh9afgr5tusus9nm6sksn480lug', 12205663), ('bc1qn9yq8yrujjhhkv058gen3y00yr9tzc94kqvqfm', 25463305)]"
5,811e2872674a9f5c81466c5e0de4705c97f9897dae264c7608e3af2772c5db5f,2021-09-04 20:33:55,"[('bc1qwcy00n7vz3v7c2x7y3hafp2hag3aafy90d2qdc', 63393827)]","[('bc1qn9yq8yrujjhhkv058gen3y00yr9tzc94kqvqfm', 25466360), ('bc1q4myv3f6hvn4cd8ncunmvll2wqxjhdn36jy5vkv', 37818717)]"
6,708cfd8215f41e0078fd49d783b338c1e3f642e3ffd5ed59951728eee11628eb,2021-09-04 20:15:14,"[('bc1qgywaddl9apdf9jsluq0p997mu2gylm7gsvp8ax', 79113441)]","[('bc1qn9yq8yrujjhhkv058gen3y00yr9tzc94kqvqfm', 15635115), ('bc1qwcy00n7vz3v7c2x7y3hafp2hag3aafy90d2qdc', 63393827)]"
7,6b9d47648f9ace7b2d137f9a1a1ba70076cbcead48f4562c1bd685f9308add78,2021-09-04 19:12:56,"[('bc1q74znthfyejtfedxl2tvt3n8nhlestpcqkxqa8q', 94789831)]","[('bc1qn9yq8yrujjhhkv058gen3y00yr9tzc94kqvqfm', 15591891), ('bc1qgywaddl9apdf9jsluq0p997mu2gylm7gsvp8ax', 79113441)]"
8,405cb159e1ef9fc4e7c35e1a6a86b9cd7123ce1002295b7ea6a763a5ce9dcbff,2021-09-03 21:50:50,"[('bc1q4lpm9xuhzg72hyu50pv2j7mc7rnsfa2rpd60ef', 98330764)]","[('bc1qn9yq8yrujjhhkv058gen3y00yr9tzc94kqvqfm', 3539845), ('bc1q74znthfyejtfedxl2tvt3n8nhlestpcqkxqa8q', 94789831)]"
9,1ac2ae163b578d9731ba0597271afe0a8e0363c3c82453e2ba148c97ae56995e,2021-08-29 23:50:23,"[('bc1q02xkn3shd3yr2t26d2l0jwrkgmqqak55fdxp6d', 27564761)]","[('bc1qn9yq8yrujjhhkv058gen3y00yr9tzc94kqvqfm', 27462719)]"
