,tx_id,time,inputs,outputs
0,c973fa79a5e6d059d8c34c87df12f466af7e6feb1efe8344af1685bebd7fd7aa,2021-10-14 15:35:03,"[('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 187822), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 158650), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 145132)]","[('3LCBSxdGxTfoQKkfFDJAjAB1Xn7syj2hQu', 399000), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 88428)]"
1,b81bf5fb0215643109d832fd23967a19e6d71f00f8480e517ae30da731d281bb,2021-10-05 16:33:14,"[('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 243620), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 212295), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 201636)]","[('3LCBSxdGxTfoQKkfFDJAjAB1Xn7syj2hQu', 530000), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 124941)]"
2,f09688fa9c83d0b37a588b21aa549aefe7d6099fce67d37a92e4f52dccda85e2,2021-09-15 16:15:57,"[('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 785026)]","[('bc1qyzxdu4px4jy8gwhcj82zpv7qzhvc0fvumgnh0r', 580000), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 201636)]"
3,04e09897ac5e80a7e8bd1ba30604e8da8b9c67fc0ad4fad92a5e3d63efb79846,2021-09-08 03:08:23,"[('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 394604)]","[('bc1q3cv4g9wnptsyg3hmw85lux52xw9n8ncacjq74y', 244500), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 145132)]"
4,d248bd2e7ff8c9e943bb60e3f9681a676a9e5e4c161c3ccaaae2bc4f144a7404,2021-09-03 20:10:18,"[('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 619158)]","[('3QKPxxVTRerLqvYqwne9942QAVKCsxgRvv', 218000), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 394604)]"
5,fff475347ea5ebce3998a98d118f31bb566ff73d18f6082819ea125ada70961f,2021-09-01 17:20:45,"[('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 1664550)]","[('3GqN91gW3uxRU6ckjdAznvJCNqVEkqgKBT', 874100), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 785026)]"
6,31b24d85ce19b31f908ca94b56fe4a8972293c8cc13c5dc4c6ffaa29e54cd54d,2021-09-01 16:45:10,"[('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 2320028)]","[('bc1qyzxdu4px4jy8gwhcj82zpv7qzhvc0fvumgnh0r', 643500), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 1664550)]"
7,ede7a2cae8d7e71f554373a30fdaf7bedf91c40065961b454193a0df1a4ca3ef,2021-09-01 16:21:20,"[('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 3574615)]","[('bc1qyzxdu4px4jy8gwhcj82zpv7qzhvc0fvumgnh0r', 2947321), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 619158)]"
8,c4644a6353bd259db607cd329156cf71aba52285a956f5ff02ab49e3922cf3fe,2021-09-01 04:17:39,"[('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 3424096)]","[('12W51KyZj9qsm9mDFAJhjs8C8tW2B5J58b', 1100000), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 2320028)]"
9,3daed1324f54fb50375bc6e21b859ca6b0aa61998db298b0f5711f96fba4cc90,2021-09-01 02:20:02,"[('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 4570282)]","[('bc1qyzxdu4px4jy8gwhcj82zpv7qzhvc0fvumgnh0r', 1142570), ('bc1qut95dfvup06k8tnv00jwx4aa5felfq5an8n5wh', 3424096)]"
