,tx_id,time,inputs,outputs
0,a069427c7a86611278d42a9b9c8838e02b65d47b253ea14aad36472e5d926fd0,2021-09-10 10:32:32,"[('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 964639316)]","[('bc1qv97gtvpk5w330nve88ypk9ef2xwmwlaanr2y7c', 2199566), ('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 962404750)]"
1,95d2dd8c8e1f7ab02aab7ea3777820ee6c0578f2c7faa29e87fea46e9b66381b,2021-09-09 16:46:28,"[('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 840330308)]","[('bc1qv97gtvpk5w330nve88ypk9ef2xwmwlaanr2y7c', 3888282), ('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 836407026)]"
2,76b031b6cbf4e5ee7a292f5fceae8ddde5d0698e320c2419540dbd13cb3039cf,2021-09-09 16:19:19,"[('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 869667564)]","[('bc1qv97gtvpk5w330nve88ypk9ef2xwmwlaanr2y7c', 3888986), ('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 865743578)]"
3,ca6b96a2b67a4ea57b9cad861fa572a8ba0b4ada189efec03c78b7f404790e56,2021-09-09 01:16:00,"[('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 5612044)]","[('bc1qv97gtvpk5w330nve88ypk9ef2xwmwlaanr2y7c', 3888986), ('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 1688058)]"
4,1380481ce81efac292e889ec431dabe0248490606558b737d4c73b3f3a39875f,2021-09-08 23:20:37,"[('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 132046848)]","[('bc1qv97gtvpk5w330nve88ypk9ef2xwmwlaanr2y7c', 4071199), ('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 127940649)]"
5,93948ee32fbed27cb62f41acb64d070b00bbc3503442de5ecad535fbb2305a5d,2021-09-08 09:10:14,"[('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 890850719)]","[('bc1qv97gtvpk5w330nve88ypk9ef2xwmwlaanr2y7c', 4060483), ('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 886755236)]"
6,6af5ef9227e9d921f437a07ffeec11b7e667269ff2afc816b43070b0e71db04b,2021-09-07 18:55:24,"[('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 729809684)]","[('bc1qv97gtvpk5w330nve88ypk9ef2xwmwlaanr2y7c', 4066292), ('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 725708392)]"
7,d313d4cd345648e89bc84de0137d3fd9bb73f1401524f16e14491e0e16143230,2021-09-06 20:48:13,"[('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 751263585)]","[('bc1qv97gtvpk5w330nve88ypk9ef2xwmwlaanr2y7c', 4069789), ('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 747158796)]"
8,6f8208110962b314713f37684de9667250b7dd016dd9406e8cfeee968979cc49,2021-09-06 13:51:12,"[('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 958726727)]","[('bc1qv97gtvpk5w330nve88ypk9ef2xwmwlaanr2y7c', 3887171), ('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 954804556)]"
9,ff36cff144c73b2bcaa8b46d50509a5bdf5b0c044f246f3dc5304d9ce9b6edef,2021-09-05 07:01:53,"[('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 197584688)]","[('bc1qv97gtvpk5w330nve88ypk9ef2xwmwlaanr2y7c', 4072684), ('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 193477004)]"
10,7e9434d7f20dc71869c47b4f4a11ebdd1990e4c904d0c6baf0505a64ea94672c,2021-09-05 00:03:31,"[('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 908941774)]","[('bc1qv97gtvpk5w330nve88ypk9ef2xwmwlaanr2y7c', 3890162), ('1Bc41qA9kTcsodBfA49ktbbZukx6R4PiNN', 905016612)]"
