,tx_id,time,inputs,outputs
0,08ccc564c0142b0de083d3a020d47f68d58c72263d54796c3d904b09e195b51b,2021-07-21 09:03:34,"[('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 130020)]","[('1GYZfmbasWHTCKhuMYs5ZXGY9WRnAftwQf', 129678)]"
1,367dfb7a7e048fdbc5e4941bfc12922e3b0c215974d4d0001736a4abee55ec9a,2021-07-20 16:05:50,"[('bc1qgjzuyxv4rjt0se7sh2nlclm0cut6h8a8xv3353', 54630), ('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 121801)]","[('1GYZfmbasWHTCKhuMYs5ZXGY9WRnAftwQf', 175885)]"
2,179dfc22c32311293cc42fcc797ee72ed6f46df2cf19c0a8c0570e2674555837,2021-07-19 03:12:38,"[('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 121065)]","[('1GYZfmbasWHTCKhuMYs5ZXGY9WRnAftwQf', 66000), ('bc1qgjzuyxv4rjt0se7sh2nlclm0cut6h8a8xv3353', 54630)]"
3,c80a5d0f2ae1510d1cefeba616e52faa7dbc2c18ca24520c52ad5553706b7812,2021-07-12 04:36:12,"[('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 115617)]","[('1GYZfmbasWHTCKhuMYs5ZXGY9WRnAftwQf', 115275)]"
4,5a3febc8b510e11f215fa6ae544433c45f24f4f459971933b99b85bd05db70be,2021-07-10 19:01:28,"[('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 141032)]","[('1GYZfmbasWHTCKhuMYs5ZXGY9WRnAftwQf', 140690)]"
5,06777451e20b1ec1a4887e18348d3cf512f2b05e4ad2dfaa58850b1866b138c3,2021-07-07 06:53:13,"[('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 115387), ('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 117746)]","[('1GYZfmbasWHTCKhuMYs5ZXGY9WRnAftwQf', 232587)]"
6,17c61862faef0f28727040f648e663b8e5e07d28c3c73b282f6df5cb7c8d2195,2021-06-29 19:01:04,"[('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 111834)]","[('1GYZfmbasWHTCKhuMYs5ZXGY9WRnAftwQf', 104538)]"
7,00322fdf7dd17ee57db06dd46c1550fca224f9fdb3e02cf7e903e53d2e90f811,2021-06-25 05:12:08,"[('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 120461)]","[('1GYZfmbasWHTCKhuMYs5ZXGY9WRnAftwQf', 120005)]"
8,0b077ae5e727e2cb14475eb3ea7352372651686eae6f01e36c26e300603b4262,2021-06-22 08:40:18,"[('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 118712)]","[('1GYZfmbasWHTCKhuMYs5ZXGY9WRnAftwQf', 116660)]"
9,8dd9f1805b9c3417210e0aede7ab18ce4f791b8577296766b9c8a6ca9ec1ead4,2021-06-19 05:59:49,"[('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 119875)]","[('1GYZfmbasWHTCKhuMYs5ZXGY9WRnAftwQf', 119533)]"
10,edffd3a144b40a8389fd2a70b10c9ce80fb5a0410471d54dfbafbe29d9d62c75,2021-06-16 11:50:54,"[('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 118488)]","[('1GYZfmbasWHTCKhuMYs5ZXGY9WRnAftwQf', 115182)]"
11,0b969c896d57f5d25bd835662b8cbc144bfd0a931725ace5684feee8d2e1e24a,2021-06-14 07:15:41,"[('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 112364), ('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 101288), ('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 117651), ('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 109330), ('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 102233), ('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 139013), ('bc1qwe4lzf7l8llljstpcrrvrr8ef8dlw0t8wxckyj', 114359), ('bc1qsxz6n3d9jzz5y359qjfnnty5qpdq3vtm4yxwlp', 100034)]","[('1GYZfmbasWHTCKhuMYs5ZXGY9WRnAftwQf', 894487)]"
