,tx_id,time,inputs,outputs
0,2473a97657f37ce1afb697ff5f9a81bc6bf3293d1e41492f9eb636615c7be3c4,2021-10-21 11:01:03,"[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 263572), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 148415), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 25835), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 124538)]","[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 235174), ('14h6TYSJedewbcVxLc9xZgpbRxThLjHEcL', 320589)]"
1,3d735e41eac0fbb3ad4a053037cc597eb934667a6484cab05375d905cf14fd83,2021-10-21 10:33:52,"[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 121848), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 120249), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 109045), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 119284), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 91984)]","[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 25835), ('14h6TYSJedewbcVxLc9xZgpbRxThLjHEcL', 531320)]"
2,89d339f3591954f6f7cb6003e2bd1335cc9c785ecda4c59eec7646be8bf8a760,2021-10-19 10:43:30,"[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 105079), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 116714), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 102849), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 112297), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 109727), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 118553)]","[('14h6TYSJedewbcVxLc9xZgpbRxThLjHEcL', 566614), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 91984)]"
3,41d100eeed9f50c42e8d2dc5092515ea87b0df216dcf4cd07d08351dd0d52906,2021-10-10 11:51:30,"[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 262418), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 262138), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 117869), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 256339), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 244487), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 23667), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 256700)]","[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 148415), ('14h6TYSJedewbcVxLc9xZgpbRxThLjHEcL', 1261823)]"
4,86a2927c3bb09afd98da9b2ed6de69b19aaf80409e1df18a73aac1c56858a005,2021-10-09 17:09:31,"[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 237652), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 240327), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 231181), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 229703), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 230726), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 130643)]","[('14h6TYSJedewbcVxLc9xZgpbRxThLjHEcL', 1268417), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 23667)]"
5,17cffe9e9386f09cada6fae24d364dc879e200aebc48eae9d45f3742cf138583,2021-10-09 09:05:27,"[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 159223), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 123560), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 203318), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 218407), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 226335), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 224030)]","[('14h6TYSJedewbcVxLc9xZgpbRxThLjHEcL', 1018628), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 130643)]"
6,e2e8a0d98fee28d30c7d1c439016399de4d7ed930529c571edcae749e6e87f91,2021-10-08 11:20:18,"[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 210162), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 206238)]","[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 159223), ('14h6TYSJedewbcVxLc9xZgpbRxThLjHEcL', 250276)]"
7,5f7c39eb600d3ece9087e5c8984c9f5bd093358030e6812ad47228542eae7deb,2021-10-08 11:00:31,"[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 113571), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 113552), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 202068), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 123036), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 206009), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 104724), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 126760), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 172016), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 191782), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 203179), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 186425), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 129774), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 108596), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 203929), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 129726), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 62100), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 122988), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 131720), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 106844)]","[('14h6TYSJedewbcVxLc9xZgpbRxThLjHEcL', 2512414), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 203318)]"
8,2473a97657f37ce1afb697ff5f9a81bc6bf3293d1e41492f9eb636615c7be3c4,2021-10-21 11:01:03,"[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 263572), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 148415), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 25835), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 124538)]","[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 235174), ('14h6TYSJedewbcVxLc9xZgpbRxThLjHEcL', 320589)]"
9,3d735e41eac0fbb3ad4a053037cc597eb934667a6484cab05375d905cf14fd83,2021-10-21 10:33:52,"[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 121848), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 120249), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 109045), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 119284), ('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 91984)]","[('bc1qy0x3plek676asggny6sfgwgu8whe05eqhrw6md', 25835), ('14h6TYSJedewbcVxLc9xZgpbRxThLjHEcL', 531320)]"
