,tx_id,time,inputs,outputs
0,845ceaa7b4e0201f314567fb97b878efff39696d40f37578e71899c64ed3b498,2011-04-21 22:27:26,"[('12Eijf6tBzGsgBEccjivrprg4e5sVuzpLB', 18000000)]","[('163wHCLPf7vcTZyKo6ZEcGbtopDaG2TARu', 16000000), ('1CkSKivtRrsGN5vczEGhpcEdyWLU8wWSBy', 2000000)]"
1,b40c13815786c5914811ac3ece25d1185c6d67a11b432927005b97725a1fff78,2011-04-21 21:17:48,"[('1JEtEQDAjYAZwUaXxbgZE5R5gy7AHSaUvb', 20000000)]","[('12Eijf6tBzGsgBEccjivrprg4e5sVuzpLB', 18000000), ('1CkSKivtRrsGN5vczEGhpcEdyWLU8wWSBy', 2000000)]"
2,3420641e33166329ce7b177bfd2a8dd1cc7dd35714cc5dc981a6e7ec1cb72143,2011-04-21 08:43:45,"[('19xbaXEZjRF7uS5Resn55SCvnbxHuxx6Lb', 1000000), ('1Mzxwb3Fiknm36vnXGFCbu4CAfg7nxfX1u', 1000000)]","[('1CkSKivtRrsGN5vczEGhpcEdyWLU8wWSBy', 2000000)]"
3,633380784bcb7403fbb58893746264436481b445111b4d2faa81cda3fce9c556,2011-04-20 19:16:06,"[('1BMByL3o2SqVrYTzHSjiywKgvYAHLAXvZG', 1000000), ('17bHKL8yGf2gErQyh8vV6YiTaJ8jtpdkVa', 1000000)]","[('1CkSKivtRrsGN5vczEGhpcEdyWLU8wWSBy', 2000000)]"
4,a71d90c397d08cc2b0adaeb77e5523918b66b69cb07d9e9ac00aedea7d1173de,2011-04-20 16:18:27,"[('1GHGYaTZNNLWLenimdfpxynPxCfZxb95bE', 15000000)]","[('1CkSKivtRrsGN5vczEGhpcEdyWLU8wWSBy', 10000000), ('17DsYu97CYiHCqqckTyd1H8FT4aY77bMCE', 5000000)]"
5,5d1a01efda1a6669930c86c5deeabc50b7ec9277fc7eb870018eed3147eb40d4,2011-04-19 23:16:05,"[('1EzPykht6f7uZv2Pi57fNdX7xwLTYbphrH', 2000000)]","[('1CkSKivtRrsGN5vczEGhpcEdyWLU8wWSBy', 2000000)]"
6,67460ce62e4c60ef6374fd4c76f8b60ca25462f93bfc50ddc00631b6b96382ae,2011-04-19 21:39:54,"[('16cU1nLpRxAgBdeWr5TQXaMSTL4AGVCjh2', 2000000)]","[('1CkSKivtRrsGN5vczEGhpcEdyWLU8wWSBy', 2000000)]"
7,a6323ced15f21d672e65285491cb8b988bd97c941b430945b9aacc41958a676f,2011-04-17 08:09:29,"[('1QFXdoEFZJjuPk8UV5yJHS4uqtu7DfD5Wz', 1000000), ('1NvZQMoexCRrWVyMvcgdw5JwQaTJWNDQ2n', 1000000)]","[('1CkSKivtRrsGN5vczEGhpcEdyWLU8wWSBy', 2000000)]"
8,0ef29254e996db1c793e62c87d47492b926e1052e7840c7966c0ede625ae5df8,2011-04-17 07:39:37,"[('1PbT483Q92DPb8E2zQUsbcu3GZxoXXVY4f', 14000000)]","[('16Pmp687GEYREsGE6DWWe9rmaynH2HGAZ8', 12000000), ('1CkSKivtRrsGN5vczEGhpcEdyWLU8wWSBy', 2000000)]"
9,845ceaa7b4e0201f314567fb97b878efff39696d40f37578e71899c64ed3b498,2011-04-21 22:27:26,"[('12Eijf6tBzGsgBEccjivrprg4e5sVuzpLB', 18000000)]","[('163wHCLPf7vcTZyKo6ZEcGbtopDaG2TARu', 16000000), ('1CkSKivtRrsGN5vczEGhpcEdyWLU8wWSBy', 2000000)]"
